l0 kb T theta_s kappa costheta Tr costheta_se
1.0 0.01 0.005 0.4510268117962624 600.0 0.5374396141348501 0.5 0.00037420136507939283
1.0 0.01 0.01 0.4510268117962624 600.0 0.31325826367346965 1.0 0.0004948681700946876
1.0 0.01 0.02 0.4510268117962624 600.0 0.16374051871921189 2.0 0.0005075875285043074
1.0 0.01 0.03 0.4510268117962624 600.0 0.10908096792763158 3.0 0.0005243412980790045
1.0 0.01 0.04 0.4510268117962624 600.0 0.0829676099506578 4.0 0.0005302367207448138
1.0 0.01 0.05 0.4510268117962624 600.0 0.0653487332866556 5.0 0.0005317372642656257
1.0 0.01 0.075 0.4510268117962624 600.0 0.04451147008172844 7.5 0.0005272400137561048
1.0 0.01 0.1 0.4510268117962624 600.0 0.033933841670699585 10.0 0.0005281834649933004
1.0 0.01 0.15 0.4510268117962624 600.0 0.023509719117105265 15.0 0.0005200655440950297
1.0 0.01 0.2 0.4510268117962624 600.0 0.016374372532648025 20.0 0.0005163812648674587
1.0 0.01 0.25 0.4510268117962624 600.0 0.013997085606873993 25.0 0.0005089376940478432
1.0 0.01 0.3 0.4510268117962624 600.0 0.010653813674382206 30.0 0.0005369095502302553
1.0 0.01 0.4 0.4510268117962624 600.0 0.008223934498601976 40.0 0.0005162386346478161
1.0 0.01 0.6 0.4510268117962624 600.0 0.005376559466143096 60.0 0.0005367028274053778
1.0 0.01 1.0 0.4510268117962624 600.0 0.0034741102560196576 100.0 0.0005333285825337105
1.0 0.1 0.005 0.4510268117962624 600.0 0.9499811810832659 0.049999999999998886 4.386184942765127e-05
1.0 0.1 0.01 0.4510268117962624 600.0 0.9000314588045237 0.09999999999999777 9.137736714365692e-05
1.0 0.1 0.02 0.4510268117962624 600.0 0.8002245413961038 0.19999999999999557 0.00017610829931549919
1.0 0.1 0.03 0.4510268117962624 600.0 0.7028420777957866 0.3000000000000067 0.0002747622008881658
1.0 0.1 0.04 0.4510268117962624 600.0 0.6135674679122671 0.39999999999999114 0.0003213708788777438
1.0 0.1 0.05 0.4510268117962624 600.0 0.5369797075548345 0.5 0.0003644671178967319
1.0 0.1 0.075 0.4510268117962624 600.0 0.398907683006536 0.7499999999999999 0.0004416409617837099
1.0 0.1 0.1 0.4510268117962624 600.0 0.3131930605069498 1.0 0.0004656175659908694
1.0 0.1 0.15 0.4510268117962624 600.0 0.21573013770491778 1.4999999999999998 0.000515981721470712
1.0 0.1 0.2 0.4510268117962624 600.0 0.16378627049180314 2.0 0.0005134619854224948
1.0 0.1 0.25 0.4510268117962624 600.0 0.13175543575317628 2.5 0.0005226510586752775
1.0 0.1 0.3 0.4510268117962624 600.0 0.11007176194295895 2.9999999999999996 0.0005482325839187952
1.0 0.1 0.4 0.4510268117962624 600.0 0.08395501934338956 4.0 0.0005419960477332769
1.0 0.1 0.6 0.4510268117962624 600.0 0.054588243463636346 5.999999999999999 0.0005267813322249972
1.0 0.1 1.0 0.4510268117962624 600.0 0.03323004309315066 10.0 0.000554551398142044
1.0 0.2 0.005 0.4510268117962624 600.0 0.9749931417253527 0.02499999999999952 2.4002046764492372e-05
1.0 0.2 0.01 0.4510268117962624 600.0 0.9500006380530976 0.04999999999999905 4.633316987194978e-05
1.0 0.2 0.02 0.4510268117962624 600.0 0.8998907857142862 0.09999999999999813 9.270140412958992e-05
1.0 0.2 0.03 0.4510268117962624 600.0 0.849982098743268 0.1500000000000031 0.00014321943916099957
1.0 0.2 0.04 0.4510268117962624 600.0 0.8004177221223026 0.19999999999999632 0.00018542561093678217
1.0 0.2 0.05 0.4510268117962624 600.0 0.7505825805580557 0.25 0.00024182442045677378
1.0 0.2 0.075 0.4510268117962624 600.0 0.634270944696284 0.37499999999999994 0.0003299276594432557
1.0 0.2 0.1 0.4510268117962624 600.0 0.5371088593327327 0.5 0.00038989308533159123
1.0 0.2 0.15 0.4510268117962624 600.0 0.39988175296262546 0.7499999999999999 0.00046598833466623485
1.0 0.2 0.2 0.4510268117962624 600.0 0.31215007901907327 1.0 0.0004889038465942986
1.0 0.2 0.25 0.4510268117962624 600.0 0.25565609528130673 1.25 0.000505689240520361
1.0 0.2 0.3 0.4510268117962624 600.0 0.21599283761467913 1.4999999999999998 0.0005105442390251152
1.0 0.2 0.4 0.4510268117962624 600.0 0.16270918065693438 2.0 0.0005482597552264237
1.0 0.2 0.6 0.4510268117962624 600.0 0.10874791056014711 2.9999999999999996 0.0005495914561698323
1.0 0.2 1.0 0.4510268117962624 600.0 0.06787308747974785 5.0 0.0005594852511807188
1.0 0.5 0.005 0.4510268117962624 600.0 0.9899993353699907 0.009999999999999816 8.207527630796594e-06
1.0 0.5 0.01 0.4510268117962624 600.0 0.9800031419753086 0.019999999999999636 1.688417497734205e-05
1.0 0.5 0.02 0.4510268117962624 600.0 0.9599655240054864 0.03999999999999927 3.3120627210363956e-05
1.0 0.5 0.03 0.4510268117962624 600.0 0.9399729125946327 0.060000000000001226 4.9865111924440356e-05
1.0 0.5 0.04 0.4510268117962624 600.0 0.9199759876373612 0.07999999999999854 6.60353012958088e-05
1.0 0.5 0.05 0.4510268117962624 600.0 0.8999786904109595 0.09999999999999726 8.521275031408113e-05
1.0 0.5 0.075 0.4510268117962624 600.0 0.8500817277739485 0.1500000000000037 0.00012240015639237894
1.0 0.5 0.1 0.4510268117962624 600.0 0.8001204471879307 0.19999999999999452 0.00016566699192219986
1.0 0.5 0.15 0.4510268117962624 600.0 0.7026903728463124 0.3000000000000074 0.00024723233860724967
1.0 0.5 0.2 0.4510268117962624 600.0 0.6134902435986161 0.39999999999998914 0.00030486946685777795
1.0 0.5 0.25 0.4510268117962624 600.0 0.536973499311294 0.5 0.0003490563693294498
1.0 0.5 0.3 0.4510268117962624 600.0 0.4737856225761766 0.6000000000000147 0.0003792760017500099
