l0 kb T theta_s kappa costheta Tr costheta_se
1.0 4.0 0.03 0.4510268117962624 1200 0.992497831134565 0.007500000000000117 6.889037059016713e-06
1.0 4.0 0.04 0.4510268117962624 300 0.9899898233890215 0.009999999999999822 8.946177812732553e-06
1.0 4.0 0.04 0.4510268117962624 1200 0.9900020818661973 0.009999999999999827 9.138646317012528e-06
1.0 4.0 0.05 0.4510268117962624 300 0.9874963225283663 0.012499999999999723 1.1122985582364297e-05
1.0 4.0 0.05 0.4510268117962624 1200 0.9874935020048116 0.012499999999999718 1.113980255800866e-05
1.0 4.0 0.075 0.4510268117962624 300 0.9812654533762059 0.018750000000000423 1.638184994366501e-05
1.0 4.0 0.075 0.4510268117962624 1200 0.9812271426269131 0.018750000000000423 1.7055966597222597e-05
1.0 4.0 0.1 0.4510268117962624 300 0.9750218650406505 0.02499999999999945 2.2665356472747266e-05
1.0 4.0 0.1 0.4510268117962624 1200 0.9750465048701321 0.024999999999999446 2.2344596184507237e-05
1.0 4.0 0.15 0.4510268117962624 300 0.9625655961070564 0.03750000000000084 3.3317661683771664e-05
1.0 4.0 0.15 0.4510268117962624 1200 0.9624456170040486 0.03750000000000084 3.294000005855479e-05
1.0 4.0 0.2 0.4510268117962624 300 0.9499456669354854 0.049999999999998886 4.568815082242177e-05
1.0 4.0 0.2 0.4510268117962624 1200 0.9499713424657548 0.04999999999999888 4.500383051066572e-05
1.0 4.0 0.25 0.4510268117962624 300 0.9376080192307713 0.0625 5.750815240918745e-05
1.0 4.0 0.25 0.4510268117962624 1200 0.9374786466774714 0.0625 5.6015185623129726e-05
1.0 4.0 0.3 0.4510268117962624 300 0.9250301733870974 0.07500000000000169 6.452249998506777e-05
1.0 4.0 0.3 0.4510268117962624 1200 0.9249425908360123 0.07500000000000169 6.748079178961457e-05
1.0 4.0 0.4 0.4510268117962624 300 0.8999199403225815 0.09999999999999777 8.984835809813213e-05
1.0 4.0 0.4 0.4510268117962624 1200 0.9000155640612412 0.09999999999999776 9.054498092789888e-05
1.0 4.0 0.6 0.4510268117962624 300 0.8499406535052372 0.15000000000000338 0.00012914268621852922
1.0 4.0 0.6 0.4510268117962624 1200 0.849936772397095 0.15000000000000338 0.00013875116561606595
1.0 4.0 1.0 0.4510268117962624 300 0.7504587356970186 0.25 0.0002221365353655847
1.0 4.0 1.0 0.4510268117962624 1200 0.7503953686746999 0.25 0.00022121307056894592
1.0 1.0 0.005 0.4510268117962624 600.0 0.9949972533532044 0.00499999999999991 4.2908699863513036e-06
1.0 1.0 0.01 0.4510268117962624 600.0 0.9899921608280247 0.009999999999999822 9.167008407050474e-06
1.0 1.0 0.02 0.4510268117962624 600.0 0.9799859016129049 0.019999999999999647 1.752686381651824e-05
1.0 1.0 0.03 0.4510268117962624 600.0 0.9699821911290335 0.030000000000000523 2.8621995373144662e-05
1.0 1.0 0.04 0.4510268117962624 600.0 0.9599995601291369 0.03999999999999929 3.53682649053217e-05
1.0 1.0 0.05 0.4510268117962624 600.0 0.949971620967743 0.049999999999998886 4.711472292677484e-05
1.0 1.0 0.075 0.4510268117962624 600.0 0.924962464777328 0.07500000000000168 6.742301820904404e-05
1.0 1.0 0.1 0.4510268117962624 600.0 0.9000262346774196 0.09999999999999777 9.181518707925644e-05
1.0 1.0 0.15 0.4510268117962624 600.0 0.8501570455655003 0.15000000000000335 0.00014084857003309771
1.0 1.0 0.2 0.4510268117962624 600.0 0.7997509298100741 0.1999999999999957 0.00018589806881209512
1.0 1.0 0.25 0.4510268117962624 600.0 0.7507940898785428 0.25 0.00022310449093956673
1.0 1.0 0.3 0.4510268117962624 600.0 0.7022625183973835 0.30000000000000665 0.00026376449993876643
1.0 1.0 0.4 0.4510268117962624 600.0 0.6139226794141586 0.3999999999999912 0.0003275788476178234
1.0 1.0 0.6 0.4510268117962624 600.0 0.4740576362889977 0.6000000000000133 0.00041888697802343084
1.0 1.0 1.0 0.4510268117962624 600.0 0.31266074979691305 1.0 0.0004696975689654152
1.0 4.0 0.005 0.4510268117962624 600.0 0.9987495063437131 0.0012499999999999935 9.87713534275374e-07
1.0 4.0 0.01 0.4510268117962624 600.0 0.9975005688622767 0.002499999999999954 1.9852125505911105e-06
1.0 4.0 0.02 0.4510268117962624 600.0 0.9949946101190472 0.00499999999999991 4.428616249529994e-06
1.0 4.0 0.03 0.4510268117962624 600.0 0.9925043354231976 0.007500000000000135 6.828106558784577e-06
1.0 4.0 0.04 0.4510268117962624 600.0 0.9899897619426751 0.009999999999999822 9.283002556342764e-06
1.0 4.0 0.05 0.4510268117962624 600.0 0.9875091842948706 0.012499999999999718 1.1244601695357817e-05
1.0 4.0 0.075 0.4510268117962624 600.0 0.9812323089300069 0.018750000000000423 1.6458569097520096e-05
1.0 4.0 0.1 0.4510268117962624 600.0 0.9750200620467372 0.02499999999999944 2.3231416322800238e-05
1.0 4.0 0.15 0.4510268117962624 600.0 0.962540654032256 0.037500000000000845 3.2348971905613236e-05
1.0 4.0 0.2 0.4510268117962624 600.0 0.9500031491935473 0.049999999999998886 4.54794611388699e-05
1.0 4.0 0.25 0.4510268117962624 600.0 0.9374318186945997 0.0625 5.5411054178227777e-05
1.0 4.0 0.3 0.4510268117962624 600.0 0.9249280492332528 0.07500000000000169 6.587029695304786e-05
1.0 4.0 0.4 0.4510268117962624 600.0 0.9000768603712659 0.09999999999999777 9.301973461959523e-05
1.0 4.0 0.6 0.4510268117962624 600.0 0.849861920647773 0.15000000000000335 0.0001379055258789709
1.0 4.0 1.0 0.4510268117962624 600.0 0.7506219292748422 0.25 0.00023341599671618306
1.0 10.0 0.005 0.4510268117962624 600.0 0.9995001646542268 0.0004999999999999753 3.6578380251546e-07
1.0 10.0 0.01 0.4510268117962624 600.0 0.998999441300423 0.0009999999999999567 7.72835467086847e-07
1.0 10.0 0.02 0.4510268117962624 600.0 0.9979991987261169 0.0019999999999999207 1.59525613728421e-06
1.0 10.0 0.03 0.4510268117962624 600.0 0.9970030865603648 0.0030000000000000296 2.6403790029292993e-06
1.0 10.0 0.04 0.4510268117962624 600.0 0.99600419984448 0.003999999999999904 3.4266101352068014e-06
1.0 10.0 0.05 0.4510268117962624 600.0 0.9950037703389826 0.0049999999999999125 4.555776911046234e-06
1.0 10.0 0.075 0.4510268117962624 600.0 0.9924995922493671 0.007500000000000124 7.008191821206553e-06
1.0 10.0 0.1 0.4510268117962624 600.0 0.9899969165894354 0.009999999999999828 9.493969056860478e-06
1.0 10.0 0.15 0.4510268117962624 600.0 0.9850173907225681 0.01500000000000023 1.4031947020942868e-05
1.0 10.0 0.2 0.4510268117962624 600.0 0.9800055297249338 0.019999999999999653 1.896347124211834e-05
1.0 10.0 0.25 0.4510268117962624 600.0 0.9750077116402108 0.024999999999999523 2.370937200985242e-05
1.0 10.0 0.3 0.4510268117962624 600.0 0.9699942713178286 0.03000000000000048 2.6462964255462408e-05
1.0 10.0 0.4 0.4510268117962624 600.0 0.9599385941023397 0.0399999999999993 3.777787986457709e-05
1.0 10.0 0.6 0.4510268117962624 600.0 0.9399633670546111 0.060000000000000914 5.623701078146891e-05
1.0 10.0 1.0 0.4510268117962624 600.0 0.9002300456171738 0.09999999999999815 9.675806252352752e-05
1.0 12.0 0.005 0.4510268117962624 600.0 0.9995834551313814 0.0004166666666666521 2.9406101615108247e-07
1.0 12.0 0.01 0.4510268117962624 600.0 0.999167008090615 0.0008333333333333098 6.157003894476882e-07
1.0 12.0 0.02 0.4510268117962624 600.0 0.9983322056131799 0.0016666666666666373 1.303422791280458e-06
1.0 12.0 0.03 0.4510268117962624 600.0 0.9975002629826901 0.002499999999999954 2.030223495604518e-06
1.0 12.0 0.04 0.4510268117962624 600.0 0.9966710243224453 0.0033333333333333175 2.855440302091965e-06
1.0 12.0 0.05 0.4510268117962624 600.0 0.9958301320754714 0.004166666666666662 3.5169253662048956e-06
1.0 12.0 0.075 0.4510268117962624 600.0 0.9937574523809528 0.006249999999999851 5.469185219678257e-06
1.0 12.0 0.1 0.4510268117962624 600.0 0.9916692716535455 0.008333333333333364 7.238472636547254e-06
1.0 12.0 0.15 0.4510268117962624 600.0 0.9874864399038478 0.012499999999999718 1.135804365364666e-05
1.0 12.0 0.2 0.4510268117962624 600.0 0.9833517864992154 0.016666666666666725 1.4969575462000492e-05
1.0 12.0 0.25 0.4510268117962624 600.0 0.9791760265060249 0.020833333333333027 1.8051842839386805e-05
1.0 12.0 0.3 0.4510268117962624 600.0 0.9750022790322572 0.024999999999999443 2.1776251214003514e-05
1.0 12.0 0.4 0.4510268117962624 600.0 0.9666590008110301 0.03333333333333352 2.9939081329173555e-05
1.0 12.0 0.6 0.4510268117962624 600.0 0.9499661866666668 0.04999999999999894 4.596837310841976e-05
1.0 12.0 1.0 0.4510268117962624 600.0 0.91669808064516 0.08333333333333212 7.480865849749998e-05
