P2 Q6 xi delF
3.670000000000000000e+02 1.000000000000000000e+00 4.102096627164995152e-02 1.070342422931666704e+00
3.680000000000000000e+02 1.000000000000000000e+00 4.147675478577939751e-02 1.076153514183673110e+00
3.690000000000000000e+02 1.000000000000000000e+00 4.193254329990884349e-02 1.082406804244669729e+00
3.700000000000000000e+02 1.000000000000000000e+00 4.238833181403828254e-02 1.088355119584669239e+00
3.710000000000000000e+02 1.000000000000000000e+00 4.284412032816772853e-02 1.094445019947670517e+00
3.720000000000000000e+02 1.000000000000000000e+00 4.329990884229717452e-02 1.101275407073671886e+00
3.730000000000000000e+02 1.000000000000000000e+00 4.375569735642662050e-02 1.107631615200666886e+00
3.740000000000000000e+02 1.000000000000000000e+00 4.421148587055605955e-02 1.114019512788672728e+00
3.750000000000000000e+02 1.000000000000000000e+00 4.466727438468550554e-02 1.120234426621671275e+00
3.760000000000000000e+02 1.000000000000000000e+00 4.512306289881495153e-02 1.125771069697670157e+00
3.770000000000000000e+02 1.000000000000000000e+00 4.557885141294439058e-02 1.132789267757672746e+00
3.780000000000000000e+02 1.000000000000000000e+00 4.603463992707383656e-02 1.139244033015664570e+00
3.790000000000000000e+02 1.000000000000000000e+00 4.649042844120328255e-02 1.145810147480673891e+00
3.800000000000000000e+02 1.000000000000000000e+00 4.694621695533272160e-02 1.152799272640670836e+00
3.810000000000000000e+02 1.000000000000000000e+00 4.740200546946216759e-02 1.248489391008313021e+00
3.820000000000000000e+02 1.000000000000000000e+00 4.785779398359161357e-02 1.251599173756808625e+00
3.830000000000000000e+02 1.000000000000000000e+00 4.831358249772105956e-02 1.257832839610301789e+00
3.840000000000000000e+02 1.000000000000000000e+00 4.876937101185049861e-02 1.264591998131308515e+00
3.850000000000000000e+02 1.000000000000000000e+00 4.922515952597994460e-02 1.271892057956804933e+00
3.860000000000000000e+02 1.000000000000000000e+00 4.968094804010939058e-02 1.278763147142811363e+00
3.870000000000000000e+02 1.000000000000000000e+00 5.013673655423882963e-02 1.286542328360305021e+00
3.880000000000000000e+02 1.000000000000000000e+00 5.059252506836827562e-02 1.294402332239805276e+00
3.890000000000000000e+02 1.000000000000000000e+00 5.104831358249772161e-02 1.301268479032806624e+00
3.900000000000000000e+02 1.000000000000000000e+00 5.150410209662716066e-02 1.309454244756814489e+00
3.910000000000000000e+02 1.000000000000000000e+00 5.195989061075660664e-02 1.317302183382807357e+00
3.920000000000000000e+02 1.000000000000000000e+00 5.241567912488605263e-02 1.324995308816312445e+00
3.930000000000000000e+02 1.000000000000000000e+00 5.287146763901549862e-02 1.332438843403309647e+00
3.940000000000000000e+02 1.000000000000000000e+00 5.332725615314493767e-02 1.340636383651798269e+00
3.950000000000000000e+02 1.000000000000000000e+00 5.378304466727438365e-02 1.348490282222307712e+00
3.960000000000000000e+02 1.000000000000000000e+00 5.423883318140382964e-02 1.355754582380804152e+00
3.970000000000000000e+02 1.000000000000000000e+00 5.469462169553326869e-02 1.364545645882806468e+00
3.980000000000000000e+02 1.000000000000000000e+00 5.515041020966271468e-02 1.372271042235311711e+00
3.990000000000000000e+02 1.000000000000000000e+00 5.560619872379216067e-02 1.380788965841809102e+00
4.000000000000000000e+02 1.000000000000000000e+00 5.606198723792159971e-02 1.388745346384801849e+00
4.010000000000000000e+02 1.000000000000000000e+00 5.651777575205104570e-02 1.397074877599308707e+00
4.020000000000000000e+02 1.000000000000000000e+00 5.697356426618049169e-02 1.405237385003310635e+00
4.030000000000000000e+02 1.000000000000000000e+00 5.742935278030993768e-02 1.412775697244306627e+00
4.040000000000000000e+02 1.000000000000000000e+00 5.788514129443937672e-02 1.421250156865305314e+00
4.050000000000000000e+02 2.000000000000000000e+00 5.834092980856882271e-02 1.429287214705809106e+00
4.060000000000000000e+02 2.000000000000000000e+00 5.879671832269826870e-02 1.441001849031813720e+00
4.070000000000000000e+02 1.000000000000000000e+00 5.925250683682770775e-02 1.536823522271944853e+00
4.080000000000000000e+02 1.000000000000000000e+00 5.970829535095715374e-02 1.546828960806941211e+00
4.090000000000000000e+02 1.000000000000000000e+00 6.016408386508659972e-02 1.555451110759946687e+00
4.100000000000000000e+02 1.000000000000000000e+00 6.061987237921604571e-02 1.564928294701942946e+00
4.110000000000000000e+02 1.000000000000000000e+00 6.107566089334548476e-02 1.573291405115945452e+00
4.120000000000000000e+02 1.000000000000000000e+00 6.153144940747493075e-02 1.582716548566949655e+00
4.130000000000000000e+02 1.000000000000000000e+00 6.198723792160437673e-02 1.591804737106940593e+00
4.140000000000000000e+02 1.000000000000000000e+00 6.244302643573381578e-02 1.601094691572946260e+00
4.150000000000000000e+02 1.000000000000000000e+00 6.289881494986326871e-02 1.611303349678941288e+00
4.160000000000000000e+02 1.000000000000000000e+00 6.335460346399270082e-02 1.620672091703944773e+00
4.170000000000000000e+02 2.000000000000000000e+00 6.381039197812214681e-02 1.629703297359945680e+00
4.180000000000000000e+02 2.000000000000000000e+00 6.426618049225159279e-02 1.637974537409945697e+00
4.190000000000000000e+02 2.000000000000000000e+00 6.472196900638103878e-02 1.646336194178942947e+00
4.200000000000000000e+02 2.000000000000000000e+00 6.517775752051048477e-02 1.655975895631947026e+00
4.210000000000000000e+02 2.000000000000000000e+00 6.563354603463993076e-02 1.663957860326945593e+00
4.220000000000000000e+02 2.000000000000000000e+00 6.608933454876936286e-02 1.673131232463944684e+00
4.230000000000000000e+02 2.000000000000000000e+00 6.654512306289880885e-02 1.681895839626946554e+00
4.240000000000000000e+02 2.000000000000000000e+00 6.700091157702825484e-02 1.691525365564942263e+00
4.250000000000000000e+02 2.000000000000000000e+00 6.745670009115770083e-02 1.700059133901937969e+00
4.260000000000000000e+02 2.000000000000000000e+00 6.791248860528714681e-02 1.709713081075939556e+00
4.270000000000000000e+02 2.000000000000000000e+00 6.836827711941659280e-02 1.718605608998942103e+00
4.280000000000000000e+02 2.000000000000000000e+00 6.882406563354603879e-02 1.727048669887942367e+00
4.290000000000000000e+02 2.000000000000000000e+00 6.927985414767547090e-02 1.735599591235946093e+00
4.300000000000000000e+02 2.000000000000000000e+00 6.973564266180491689e-02 1.745573049580940506e+00
4.310000000000000000e+02 2.000000000000000000e+00 7.019143117593436287e-02 1.755004589069947940e+00
4.320000000000000000e+02 2.000000000000000000e+00 7.064721969006380886e-02 1.764422173566941865e+00
4.330000000000000000e+02 2.000000000000000000e+00 7.110300820419325485e-02 1.772907390160945340e+00
4.340000000000000000e+02 2.000000000000000000e+00 7.155879671832270084e-02 1.781392316025943501e+00
4.350000000000000000e+02 2.000000000000000000e+00 7.201458523245214682e-02 1.790961661060947563e+00
4.360000000000000000e+02 2.000000000000000000e+00 7.247037374658157893e-02 1.799849246590945029e+00
4.370000000000000000e+02 2.000000000000000000e+00 7.292616226071102492e-02 1.809748278311943182e+00
4.380000000000000000e+02 2.000000000000000000e+00 7.338195077484047091e-02 1.819599339747945521e+00
4.390000000000000000e+02 2.000000000000000000e+00 7.383773928896991690e-02 1.828751779396938559e+00
4.400000000000000000e+02 2.000000000000000000e+00 7.429352780309936288e-02 1.838391771578947953e+00
4.410000000000000000e+02 2.000000000000000000e+00 7.474931631722880887e-02 1.848200968038945291e+00
4.420000000000000000e+02 2.000000000000000000e+00 7.520510483135825486e-02 1.857539474247943190e+00
4.430000000000000000e+02 2.000000000000000000e+00 7.566089334548768697e-02 1.866781749157944148e+00
4.440000000000000000e+02 2.000000000000000000e+00 7.611668185961713295e-02 1.876090891737945299e+00
4.450000000000000000e+02 2.000000000000000000e+00 7.657247037374657894e-02 1.885369798501947969e+00
4.460000000000000000e+02 2.000000000000000000e+00 7.702825888787602493e-02 1.894371931257950337e+00
4.470000000000000000e+02 2.000000000000000000e+00 7.748404740200547092e-02 1.903579027958947734e+00
4.480000000000000000e+02 2.000000000000000000e+00 7.793983591613491690e-02 1.913180643912951950e+00
4.490000000000000000e+02 2.000000000000000000e+00 7.839562443026434901e-02 1.922244992674940534e+00
4.500000000000000000e+02 2.000000000000000000e+00 7.885141294439379500e-02 1.932191703951943396e+00
4.510000000000000000e+02 2.000000000000000000e+00 7.930720145852324099e-02 1.941714241617944481e+00
4.520000000000000000e+02 2.000000000000000000e+00 7.976298997265268698e-02 1.951608912403941076e+00
4.530000000000000000e+02 2.000000000000000000e+00 8.021877848678213296e-02 1.960847989294940419e+00
4.540000000000000000e+02 2.000000000000000000e+00 8.067456700091157895e-02 1.971094732899942414e+00
4.550000000000000000e+02 2.000000000000000000e+00 8.113035551504102494e-02 1.980579475795941846e+00
4.560000000000000000e+02 2.000000000000000000e+00 8.158614402917045705e-02 1.991409131045941194e+00
4.570000000000000000e+02 2.000000000000000000e+00 8.204193254329990304e-02 2.001811705394949570e+00
4.580000000000000000e+02 2.000000000000000000e+00 8.249772105742934902e-02 2.011826737986943670e+00
4.590000000000000000e+02 2.000000000000000000e+00 8.295350957155879501e-02 2.021603954256946167e+00
4.600000000000000000e+02 2.000000000000000000e+00 8.340929808568824100e-02 2.031532931064944592e+00
4.610000000000000000e+02 2.000000000000000000e+00 8.386508659981768699e-02 2.041746822292942909e+00
4.620000000000000000e+02 2.000000000000000000e+00 8.432087511394713297e-02 2.051827850367942574e+00
4.630000000000000000e+02 2.000000000000000000e+00 8.477666362807656508e-02 2.061933299678948117e+00
4.640000000000000000e+02 2.000000000000000000e+00 8.523245214220601107e-02 2.072643174580946379e+00
4.650000000000000000e+02 2.000000000000000000e+00 8.568824065633545706e-02 2.083184717391944218e+00
4.660000000000000000e+02 2.000000000000000000e+00 8.614402917046490304e-02 2.092737781602941993e+00
4.670000000000000000e+02 2.000000000000000000e+00 8.659981768459434903e-02 2.102942950960944302e+00
4.680000000000000000e+02 2.000000000000000000e+00 8.705560619872379502e-02 2.113319359699943334e+00
4.690000000000000000e+02 2.000000000000000000e+00 8.751139471285324101e-02 2.122944815431942800e+00
4.700000000000000000e+02 2.000000000000000000e+00 8.796718322698267312e-02 2.133201443822947851e+00
4.710000000000000000e+02 2.000000000000000000e+00 8.842297174111211910e-02 2.143579596935943243e+00
4.720000000000000000e+02 2.000000000000000000e+00 8.887876025524156509e-02 2.153069282224940650e+00
4.730000000000000000e+02 2.000000000000000000e+00 8.933454876937101108e-02 2.164039941039938242e+00
4.740000000000000000e+02 2.000000000000000000e+00 8.979033728350045707e-02 2.174680913168948848e+00
4.750000000000000000e+02 2.000000000000000000e+00 9.024612579762990305e-02 2.185973118257940939e+00
4.760000000000000000e+02 2.000000000000000000e+00 9.070191431175933516e-02 2.195090088968946418e+00
4.770000000000000000e+02 2.000000000000000000e+00 9.115770282588878115e-02 2.205310376234940861e+00
4.780000000000000000e+02 2.000000000000000000e+00 9.161349134001822714e-02 2.215352737352944246e+00
4.790000000000000000e+02 2.000000000000000000e+00 9.206927985414767313e-02 2.226076276517950703e+00
4.800000000000000000e+02 2.000000000000000000e+00 9.252506836827711911e-02 2.236409657364944792e+00
4.810000000000000000e+02 2.000000000000000000e+00 9.298085688240656510e-02 2.246516560320941380e+00
4.820000000000000000e+02 2.000000000000000000e+00 9.343664539653601109e-02 2.257310165174942540e+00
4.830000000000000000e+02 2.000000000000000000e+00 9.389243391066544320e-02 2.267763035640946612e+00
4.840000000000000000e+02 2.000000000000000000e+00 9.434822242479488918e-02 2.408556132796938698e+00
4.850000000000000000e+02 2.000000000000000000e+00 9.480401093892433517e-02 2.414796049323932436e+00
4.860000000000000000e+02 2.000000000000000000e+00 9.525979945305378116e-02 2.425688502037928629e+00
4.870000000000000000e+02 2.000000000000000000e+00 9.571558796718322715e-02 2.435909225397438149e+00
4.880000000000000000e+02 2.000000000000000000e+00 9.617137648131267313e-02 2.446416316821931503e+00
4.890000000000000000e+02 2.000000000000000000e+00 9.662716499544211912e-02 2.457126918546428840e+00
4.900000000000000000e+02 2.000000000000000000e+00 9.708295350957155123e-02 2.468001491426932148e+00
4.910000000000000000e+02 2.000000000000000000e+00 9.753874202370099722e-02 2.478346210704934549e+00
4.920000000000000000e+02 2.000000000000000000e+00 9.799453053783044321e-02 2.489433161119933402e+00
4.930000000000000000e+02 2.000000000000000000e+00 9.845031905195988919e-02 2.500403093112439024e+00
4.940000000000000000e+02 2.000000000000000000e+00 9.890610756608933518e-02 2.511237836119931899e+00
4.950000000000000000e+02 2.000000000000000000e+00 9.936189608021878117e-02 2.522841121238940332e+00
4.960000000000000000e+02 2.000000000000000000e+00 9.981768459434821328e-02 2.532921858584934682e+00
4.970000000000000000e+02 2.000000000000000000e+00 1.002734731084776593e-01 2.543743373422934440e+00
4.980000000000000000e+02 2.000000000000000000e+00 1.007292616226071053e-01 2.553864231370930327e+00
4.990000000000000000e+02 2.000000000000000000e+00 1.011850501367365512e-01 2.565279850920425986e+00
5.000000000000000000e+02 2.000000000000000000e+00 1.016408386508659972e-01 2.575580379390437713e+00
5.010000000000000000e+02 2.000000000000000000e+00 1.020966271649954432e-01 2.587317109120434111e+00
5.020000000000000000e+02 2.000000000000000000e+00 1.025524156791248892e-01 2.597545536798428145e+00
5.030000000000000000e+02 2.000000000000000000e+00 1.030082041932543213e-01 2.608528260866933124e+00
5.040000000000000000e+02 2.000000000000000000e+00 1.034639927073837673e-01 2.618987963464434188e+00
5.050000000000000000e+02 2.000000000000000000e+00 1.039197812215132133e-01 2.630223476398434457e+00
5.060000000000000000e+02 2.000000000000000000e+00 1.043755697356426593e-01 2.641616709814933017e+00
5.070000000000000000e+02 2.000000000000000000e+00 1.048313582497721053e-01 2.652086151833934480e+00
5.080000000000000000e+02 2.000000000000000000e+00 1.052871467639015512e-01 2.664091805888929798e+00
5.090000000000000000e+02 2.000000000000000000e+00 1.057429352780309972e-01 2.679312631954935853e+00
5.100000000000000000e+02 2.000000000000000000e+00 1.061987237921604293e-01 2.818898913031922859e+00
5.110000000000000000e+02 2.000000000000000000e+00 1.066545123062898753e-01 2.830966201634922186e+00
5.120000000000000000e+02 2.000000000000000000e+00 1.071103008204193213e-01 2.843040467733928267e+00
5.130000000000000000e+02 2.000000000000000000e+00 1.075660893345487673e-01 2.854071016722919296e+00
5.140000000000000000e+02 2.000000000000000000e+00 1.080218778486782133e-01 2.865165235362923113e+00
5.150000000000000000e+02 2.000000000000000000e+00 1.084776663628076593e-01 2.877415973964922102e+00
5.160000000000000000e+02 2.000000000000000000e+00 1.089334548769371053e-01 2.889343712647921336e+00
