peak_T peak_intensity peak_E
0.016696669666966698 0.07670587873030854 12.83521133890907
0.051788178817881794 0.08318410897106787 37.496811439465006
0.037626762676267626 0.24636286845236555 27.56043310897674
0.06131713171317132 1.1344711569646506 44.3531985320651
0.07115811581158116 1.966476779985669 51.588086504041975
0.2402790279027903 2.3316812657930086 237.13409383495372
0.010672067206720672 4.674804086292056 8.463756897536841
0.02168916891689169 6.096629568625644 16.411580586871626
0.04290729072907291 7.718384155849776 31.193119856915708
0.03553855385538554 8.654092480308805 26.099686238856293
0.1982988298829883 12.742824317427448 194.7460886952881
0.025433543354335432 13.552743331444617 19.034897166549875
0.03097809780978098 14.93864270144934 22.917051438749972
0.013600360036003602 19.25065991451379 10.62066087714543
0.01904890489048905 31.814192458346383 14.534516017556696
0.04897989798979898 32.643845719154 35.43415174440318
0.21870087008700873 37.85364530189145 215.74567356077344
0.17340834083408344 58.01846116710931 168.78187829785878
0.09208820882088209 82.17695695088435 68.61682517316284
0.12751575157515752 404.13852739062213 117.37352747361227
0.117002700270027 2025.4603748772759 98.76055051971747
