l0 kb T theta_s kappa Em Es Tr Em_se
1 10.0 3.0 0.17342232109560501 NA -1744.787741935484 119.29398478788278 0.3 3.4975081299083484
1 10.0 3.0 0.4510268117962624 NA -5964.164367373183 155.36407060016657 0.3 6.2731472163169055
1 10.0 3.0 0.6435011087932839 NA -7564.0625 137.19915191561824 0.3 3.028719251892806
1 10.0 3.5 0.17342232109560501 NA -1168.8047184029615 100.9884113658257 0.35000000000000003 3.877208246448758
1 10.0 3.5 0.4510268117962624 NA -4780.5103639029585 163.5457940176991 0.35000000000000003 5.837964274295271
1 10.0 3.5 0.6435011087932839 NA -6591.2579497770785 142.961189949833 0.35000000000000003 3.95582937273726
1 10.0 4.0 0.17342232109560501 NA -844.5816666666667 88.84614561682977 0.39999999999999997 3.254484512859818
1 10.0 4.0 0.4510268117962624 NA -3913.2157258064512 153.53316538699855 0.39999999999999997 2.6705013365836967
1 10.0 4.0 0.6435011087932839 NA -5751.522177419354 154.9815007560734 0.39999999999999997 6.12566677662633
1 10.0 5.0 0.17342232109560501 NA -531.36 71.25661791466388 0.5 2.1480622496965647
1 10.0 5.0 0.4510268117962624 NA -2808.820895029085 142.2919828053176 0.5 3.8689696227486152
1 10.0 5.0 0.6435011087932839 NA -4501.293436926305 155.32258333402163 0.5 6.8080288696166775
1 10.0 6.0 0.17342232109560501 NA -385.42 63.09190274785448 0.6 1.4456832294800954
1 10.0 6.0 0.4510268117962624 NA -2179.5551612903228 132.46586309379217 0.6 6.522199512993246
1 10.0 6.0 0.6435011087932839 NA -3701.1895161290327 149.90411543250096 0.6 3.658950852784899
1 10.0 7.5 0.17342232109560501 NA -279.2788709677419 51.986159735132695 0.75 2.6988069361109286
1 10.0 7.5 0.4510268117962624 NA -1658.8503988189673 119.21371214496367 0.75 2.7146007774163503
1 10.0 7.5 0.6435011087932839 NA -2969.325088512982 143.05371715112176 0.75 4.63443098539617
1 10.0 8.0 0.17342232109560501 NA -257.1293548387097 51.83778474337741 0.7999999999999999 1.0419617065938698
1 10.0 8.0 0.4510268117962624 NA -1540.7177419354837 116.49708952165437 0.7999999999999999 2.777983760098193
1 10.0 8.0 0.6435011087932839 NA -2799.3951612903224 139.95048934330114 0.7999999999999999 3.009063534826474
1 10.0 10.0 0.17342232109560501 NA -200.88717741935483 42.81145385577661 1.0 1.7935254508922804
1 10.0 10.0 0.4510268117962624 NA -1250.8770161290322 99.88526296212004 1.0 2.3659837767856486
1 10.0 10.0 0.6435011087932839 NA -2325.1145670763954 138.88874918157708 1.0 3.095101510344615
