l0 kb T theta_s kappa costheta Tr costheta_se
1 1.0 0.01 0.17342232109560501 NA 0.9924949143576831 0.009999999999999815 3.41712173416499e-06
1 1.0 0.01 0.4510268117962624 NA 0.949966421052631 0.009999999999999825 2.6968270579707308e-05
1 1.0 0.01 0.6435011087932839 NA 0.899901983653848 0.00999999999999983 5.6905303494987955e-05
1 1.0 0.02 0.17342232109560501 NA 0.9925027847309122 0.01999999999999963 3.446975336786591e-06
1 1.0 0.02 0.4510268117962624 NA 0.9500488704347827 0.01999999999999965 2.6845535940552908e-05
1 1.0 0.02 0.6435011087932839 NA 0.899941663137631 0.01999999999999966 5.5209605467201494e-05
1 1.0 0.03 0.17342232109560501 NA 0.9925030623818524 0.030000000000000658 3.3912575346130883e-06
1 1.0 0.03 0.4510268117962624 NA 0.9499842315698177 0.030000000000000478 2.7313746521679235e-05
1 1.0 0.03 0.6435011087932839 NA 0.9000287558139526 0.030000000000000405 5.665218281654596e-05
1 1.0 0.04 0.17342232109560501 NA 0.9924998449999993 0.03999999999999933 4.244402186989813e-06
1 1.0 0.04 0.4510268117962624 NA 0.9499773893360162 0.03999999999999933 2.9028071239243607e-05
1 1.0 0.04 0.6435011087932839 NA 0.899991106854839 0.03999999999999933 5.9188037687091176e-05
1 1.0 0.05 0.17342232109560501 NA 0.9925011107754282 0.04999999999999931 4.2265937642641906e-06
1 1.0 0.05 0.4510268117962624 NA 0.9500244356136813 0.04999999999999931 2.9757509077392576e-05
1 1.0 0.05 0.6435011087932839 NA 0.899989314516128 0.049999999999999316 5.4035239093093414e-05
1 1.0 0.075 0.17342232109560501 NA 0.9923104350000009 0.07500000000000141 1.687694477801124e-05
1 1.0 0.075 0.4510268117962624 NA 0.9499820160965791 0.0750000000000014 2.9814300001130508e-05
1 1.0 0.075 0.6435011087932839 NA 0.8999280456852802 0.07500000000000139 5.759883853762461e-05
1 1.0 0.1 0.17342232109560501 NA 0.9864638577154311 0.0999999999999986 9.020178866859975e-05
1 1.0 0.1 0.4510268117962624 NA 0.9491544404404394 0.0999999999999986 4.366156534535638e-05
1 1.0 0.1 0.6435011087932839 NA 0.899684335707019 0.09999999999999867 6.19451071986474e-05
1 1.0 0.15 0.17342232109560501 NA 0.8476812329999994 0.15000000000000283 0.0004046722828724941
1 1.0 0.15 0.4510268117962624 NA 0.9264014894684061 0.1500000000000028 0.00016888056891567387
1 1.0 0.15 0.6435011087932839 NA 0.8886064737903221 0.1500000000000028 0.00012876293047129676
1 1.0 0.2 0.17342232109560501 NA 0.5213269336683422 0.19999999999999724 0.0006444062941615083
1 1.0 0.2 0.4510268117962624 NA 0.8363891152679491 0.1999999999999973 0.0003625000738118662
1 1.0 0.2 0.6435011087932839 NA 0.8428067245206855 0.19999999999999726 0.0002742803747112091
1 1.0 0.25 0.17342232109560501 NA 0.28489714414414385 0.25 0.0006776830879649049
1 1.0 0.25 0.4510268117962624 NA 0.6914550752256775 0.25 0.000513766517518028
1 1.0 0.25 0.6435011087932839 NA 0.7588855111561864 0.25 0.0004011921137135008
1 1.0 0.3 0.17342232109560501 NA 0.16748365965965956 0.3000000000000056 0.0006197618177761374
1 1.0 0.3 0.4510268117962624 NA 0.5464303437499998 0.3000000000000056 0.0006099298430162665
