l0 kb T theta_s kappa costheta Tr costheta_se
1.0 1.0 0.4 0.4510268117962624 1200 0.34211472304832746 0.4000000000000037 0.0008860130241318852
1.0 1.0 0.6 0.4510268117962624 300 0.16862649935414398 0.6000000000000104 0.0006464985758053424
1.0 1.0 0.6 0.4510268117962624 1200 0.1679727250000001 0.6000000000000065 0.0007497564544219145
1.0 1.0 0.75 0.4510268117962624 300 0.11624412104733137 0.75 0.0006191102738939125
1.0 1.0 0.75 0.4510268117962624 1200 0.11628972441253274 0.75 0.0006883117285688299
1.0 1.0 1.0 0.4510268117962624 300 0.07587957566539928 1.0 0.0008503413950996291
1.0 1.0 1.0 0.4510268117962624 1200 0.07455158910256406 1.0 0.0009679404237781505
1.0 1.0 1.5 0.4510268117962624 300 0.04131728634099696 1.5 0.0006115478123311412
1.0 1.0 1.5 0.4510268117962624 1200 0.04441337343582888 1.5 0.0006698544248023027
1.0 1.0 3.0 0.4510268117962624 300 0.019130541942479675 3.0 0.0006166104221838025
1.0 1.0 3.0 0.4510268117962624 1200 0.018855669508771936 3.0 0.0006869399791456571
1.0 2.0 0.01 0.4510268117962624 300 0.9500116890625014 0.004999999999999911 2.5408714443049695e-05
1.0 2.0 0.01 0.4510268117962624 1200 0.9499709809296778 0.004999999999999947 2.1909020928975905e-05
1.0 2.0 0.02 0.4510268117962624 300 0.9499851083781699 0.009999999999999822 2.5753654509234566e-05
1.0 2.0 0.02 0.4510268117962624 1200 0.9499850321811688 0.009999999999999894 2.259586146879369e-05
1.0 2.0 0.03 0.4510268117962624 300 0.9500089215987708 0.015000000000000277 2.5266557397556088e-05
1.0 2.0 0.03 0.4510268117962624 1200 0.9499742860562536 0.015000000000000341 2.233506813806203e-05
1.0 2.0 0.04 0.4510268117962624 300 0.9499976207692309 0.019999999999999643 2.5890623553981478e-05
1.0 2.0 0.04 0.4510268117962624 1200 0.949998044510386 0.019999999999999803 2.2397130168617255e-05
1.0 2.0 0.05 0.4510268117962624 300 0.9500117478665638 0.02499999999999941 2.5224674417547746e-05
1.0 2.0 0.05 0.4510268117962624 1200 0.9499847252225514 0.024999999999999217 2.23040924387417e-05
1.0 2.0 0.075 0.4510268117962624 300 0.9500053853754942 0.03750000000000071 2.842730295426768e-05
1.0 2.0 0.075 0.4510268117962624 1200 0.9500174295454551 0.03750000000000088 2.434477330698715e-05
1.0 2.0 0.1 0.4510268117962624 300 0.9499867413419919 0.049999999999999475 3.016866675660256e-05
1.0 2.0 0.1 0.4510268117962624 1200 0.9499659524838016 0.04999999999999947 3.005118754707802e-05
1.0 2.0 0.15 0.4510268117962624 300 0.9499823137450201 0.07500000000000141 2.967030333427501e-05
1.0 2.0 0.15 0.4510268117962624 1200 0.9499642219999997 0.07500000000000141 3.076414135172762e-05
1.0 2.0 0.2 0.4510268117962624 300 0.9490896767895888 0.09999999999999895 4.5375228580337775e-05
1.0 2.0 0.2 0.4510268117962624 1200 0.9492072168284791 0.09999999999999892 4.539013310440076e-05
1.0 2.0 0.25 0.4510268117962624 300 0.9436989800000005 0.125 0.0001045087808111122
1.0 2.0 0.25 0.4510268117962624 1200 0.9437839068396235 0.125 9.875058101633738e-05
1.0 2.0 0.3 0.4510268117962624 300 0.9263835095095095 0.1500000000000028 0.00017043270902605782
1.0 2.0 0.3 0.4510268117962624 1200 0.9263900455465598 0.15000000000000277 0.00018347103114128353
1.0 2.0 0.4 0.4510268117962624 300 0.8355025961272484 0.20000000000000046 0.000412789048537489
