l0 kb T theta_s kappa lp Tr lp_se
1.0 1.0 0.01 0.4510268117962624 300 19.53824671816589 0.01 0.03235067196889343
1.0 1.0 0.01 0.4510268117962624 1200 19.46321297432722 0.01 0.03009335745325628
1.0 1.0 0.02 0.4510268117962624 300 19.480819268581488 0.02 0.04651187966090401
1.0 1.0 0.02 0.4510268117962624 1200 19.58700777883095 0.02 0.029752546364378095
1.0 1.0 0.03 0.4510268117962624 300 19.41150039801712 0.03 0.043837422791907964
1.0 1.0 0.03 0.4510268117962624 1200 19.47623062906655 0.03 0.04034659694442387
1.0 1.0 0.04 0.4510268117962624 300 19.456566402015817 0.04 0.03887866433387211
1.0 1.0 0.04 0.4510268117962624 1200 19.471472255955245 0.04 0.060416228208419145
1.0 1.0 0.05 0.4510268117962624 300 19.456105327910848 0.049999999999999996 0.034985695801415
1.0 1.0 0.05 0.4510268117962624 1200 19.454322203381782 0.049999999999999996 0.03503445203089201
1.0 1.0 0.075 0.4510268117962624 300 19.47585472070653 0.075 0.05042066547593991
1.0 1.0 0.075 0.4510268117962624 1200 19.447436940090764 0.075 0.05082085362429086
1.0 1.0 0.1 0.4510268117962624 300 19.189398342923994 0.09999999999999999 0.05599013549445193
1.0 1.0 0.1 0.4510268117962624 1200 19.110917327554965 0.09999999999999999 0.046248346443402547
1.0 1.0 0.15 0.4510268117962624 300 13.05268821273236 0.15 0.02404737075579823
1.0 1.0 0.15 0.4510268117962624 1200 13.138684442307673 0.15 0.03288091173668511
1.0 1.0 0.2 0.4510268117962624 300 5.585391430845383 0.19999999999999998 0.016094609896729544
1.0 1.0 0.2 0.4510268117962624 1200 5.588220635442479 0.19999999999999998 0.011821767649626983
1.0 1.0 0.25 0.4510268117962624 300 2.710736738283598 0.25 0.011257842742894241
1.0 1.0 0.25 0.4510268117962624 1200 2.7433461494563263 0.25 0.008308067856753783
1.0 1.0 0.3 0.4510268117962624 300 1.658975866181657 0.3 0.030930308126760196
1.0 1.0 0.3 0.4510268117962624 1200 1.5707290189842442 0.3 0.06104333770962197
