l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 2.0 0.02 0.9 1200 0.4510268117962624 99.41999825652428 0.01 0.13226896970711982
1.0 2.0 0.03 0.9 300 0.4510268117962624 66.07477470660184 0.015 0.16464327876388776
1.0 2.0 0.03 0.9 1200 0.4510268117962624 66.3859639046216 0.015 0.054161680380944564
1.0 2.0 0.04 0.9 300 0.4510268117962624 49.50223512766379 0.02 0.09189546436391013
1.0 2.0 0.04 0.9 1200 0.4510268117962624 49.561696626089926 0.02 0.10463784554675346
1.0 2.0 0.05 0.9 300 0.4510268117962624 39.51934058483703 0.024999999999999998 0.14551230131751422
1.0 2.0 0.05 0.9 1200 0.4510268117962624 39.49888196385973 0.024999999999999998 0.04501435360808275
1.0 2.0 0.075 0.9 300 0.4510268117962624 26.192535025463993 0.0375 0.07837058188688172
1.0 2.0 0.075 0.9 1200 0.4510268117962624 26.203978891376963 0.0375 0.05775824832768933
1.0 2.0 0.1 0.9 300 0.4510268117962624 19.546131653115552 0.049999999999999996 0.02688895959085558
1.0 2.0 0.1 0.9 1200 0.4510268117962624 19.55326107560721 0.049999999999999996 0.0669688322648549
1.0 2.0 0.15 0.9 300 0.4510268117962624 12.83050239526988 0.075 0.037311038301771356
1.0 2.0 0.15 0.9 1200 0.4510268117962624 12.844310605838634 0.075 0.021205882528331995
1.0 2.0 0.2 0.9 300 0.4510268117962624 9.492542830620122 0.09999999999999999 0.025346186384550662
1.0 2.0 0.2 0.9 1200 0.4510268117962624 9.482442651223321 0.09999999999999999 0.016284540278143717
1.0 2.0 0.25 0.9 300 0.4510268117962624 7.49701377870433 0.125 0.01870023206915414
1.0 2.0 0.25 0.9 1200 0.4510268117962624 7.428964669238447 0.125 0.026786416252666922
1.0 2.0 0.3 0.9 300 0.4510268117962624 6.145702517939871 0.15 0.017534891188638112
1.0 2.0 0.3 0.9 1200 0.4510268117962624 6.125626519024204 0.15 0.014143038944802047
1.0 2.0 0.4 0.9 300 0.4510268117962624 4.491637630724993 0.19999999999999998 0.01115501287026283
1.0 2.0 0.4 0.9 1200 0.4510268117962624 4.483830471919489 0.19999999999999998 0.017269057638589665
1.0 2.0 0.6 0.9 300 0.4510268117962624 2.8258126189689747 0.3 0.008766819010900359
1.0 2.0 0.6 0.9 1200 0.4510268117962624 2.8296408382412213 0.3 0.017248571285408822
1.0 2.0 1.0 0.9 300 0.4510268117962624 1.6091051076038492 0.5 0.03915224479702852
1.0 2.0 1.0 0.9 1200 0.4510268117962624 1.593686810713266 0.5 0.04364511631659223
1.0 4.0 0.01 0.9 300 0.4510268117962624 399.7950520463808 0.0025 1.1971418118202157
1.0 4.0 0.01 0.9 1200 0.4510268117962624 399.4201524664594 0.0025 0.8643373588856406
1.0 4.0 0.02 0.9 300 0.4510268117962624 199.29372409866835 0.005 0.5214820648735449
