file kb Lx Tm I Em Tm2 I2 Em2
Lx11.000_kb0.10_WLMC_Ts.out 0.10 11.000 0.016183183183183184 6869.970895009055 24.343975614354676 0.011330330330330332 508.6690494506943 12.613403838604292
Lx11.000_kb1.00_WLMC_Ts.out 1.00 11.000 0.13758858858858858 7569.08391040634 234.0638840150697 0.0658048048048048 968.4357306002616 85.57977691106235
Lx11.000_kb10.0_WLMC_Ts.out 10.0 11.000 1.1001801801801803 3088.884167562951 1919.0365142546334 0.28162162162162163 930.1250508952412 411.5488774617006
Lx11.200_kb1.00_WLMC_Ts.out 1.00 11.200 0.12437837837837837 5336.782585096424 205.88190227997086 0.027420420420420418 372.31739430793823 35.77851423498603
Lx11.436_kb0.10_WLMC_Ts.out 0.10 11.436 0.012555555555555556 2457.1524878627365 18.87353739330169 0.003906906906906907 598.159191651722 4.904615994978571
Lx11.436_kb1.00_WLMC_Ts.out 1.00 11.436 0.11137137137137137 3979.009119491723 180.42016779294096 0.044044044044044044 327.2018325258564 60.98051288660481
Lx11.436_kb10.0_WLMC_Ts.out 10.0 11.436 0.8900900900900902 2504.9642620320087 1501.8160172532473 0.16666666666666666 379.3585889952444 247.280890421602
Lx11.800_kb1.00_WLMC_Ts.out 1.00 11.800 0.09172672672672672 1471.9805247907166 145.0415694485169 0.016204204204204202 637.2927166745856 23.35773314919135
Lx12.500_kb1.00_WLMC_Ts.out 1.00 12.500 0.056831831831831825 666.0372387458735 87.38944549071536 0 0 0
Lx13.000_kb0.10_WLMC_Ts.out 0.10 13.000 0.004603603603603604 516.2395845851911 7.001256726739699 0 0 0
Lx13.000_kb1.00_WLMC_Ts.out 1.00 13.000 0.041571571571571576 361.0621352118353 64.55229113481063 0 0 0
Lx13.000_kb10.0_WLMC_Ts.out 10.0 13.000 0.30540540540540545 712.9108454150794 487.09147936418873 0 0 0
Lx13.500_kb1.00_WLMC_Ts.out 1.00 13.500 0.025426426426426424 353.22670701000675 39.82897174650261 0 0 0
Lx15.000_kb0.10_WLMC_Ts.out 0.10 15.000 0 0 0 0 0 0
Lx15.000_kb1.00_WLMC_Ts.out 1.00 15.000 0 0 0 0 0 0
Lx15.000_kb10.0_WLMC_Ts.out 10.0 15.000 0 0 0 0 0 0
