pair bond angle Nc Nb Lx sigma l0 Temp time Emean Ese conv energy energy_s P2 P2_s clust clust_s endDist endDist_s gyrDist gyrDist_s Q6 Q6_s
4 0 3 125 10 11.157216 1.0 1.0 0.005 inf -1000.0 0 1 -1000.0 0.0 0.8414591980198018 0.004652310034150505 0.6482455445544554 0.028660109666391695 7.410973564356436 0.3548622492764661 7.972619504950495 0.011430958170924353 0.508259900990099 0.003254035409402088 
4 0 3 125 10 11.157216 1.0 1.0 0.005 inf -1000.0 0 1 -1000.0 0.0 0.8798076138613863 0.005681841670769169 0.6412118811881188 0.035280486534690784 7.185520198019803 0.2807253969082023 7.972058712871288 0.010330259565941986 0.505931495049505 0.00311095226458873 
4 0 3 125 10 11.157216 1.0 1.0 0.01 inf -1000.0 0 1 -1000.0 0.0 0.8934094257425744 0.00608550841103054 0.6523643564356436 0.04085820344731593 7.272569900990099 0.23270849074824673 7.971947920792079 0.009251761760707754 0.5067295544554455 0.003364028023674039 
4 0 3 125 10 11.157216 1.0 1.0 0.01 inf -1000.0 0 1 -1000.0 0.0 0.8826282079207921 0.004401305140179097 0.7086099009900991 0.03547706414274182 7.931399900990098 0.20147724630637112 7.975779405940595 0.00971478579349179 0.5125743762376237 0.0036487957130366924 
4 0 3 125 10 11.157216 1.0 1.0 0.025 inf -1000.0 0 1 -1000.0 0.0 0.8815483267326731 0.005697298818206648 0.6388673267326732 0.03301888181359234 7.09895198019802 0.2211167888401284 7.970788514851485 0.010931712735838246 0.5062184455445545 0.0026804156005345568 
4 0 3 125 10 11.157216 1.0 1.0 0.025 inf -1000.0 0 1 -1000.0 0.0 0.8909547722772277 0.005045175997835206 0.6927366336633662 0.03321222404915907 7.27646584158416 0.23967953151709082 7.984824653465348 0.010890853057747958 0.5090582574257426 0.003209004801323949 
4 0 3 125 10 11.157216 1.0 1.0 0.05 inf -1000.0 0 1 -1000.0 0.0 0.9016251287128711 0.004149346763960737 0.7846970297029702 0.02782887757026683 10.041316633663367 0.26779307410234227 8.00534603960396 0.006915329946984384 0.5177114455445544 0.0030133032349314707 
4 0 3 125 10 11.157216 1.0 1.0 0.05 inf -1000.0 0 1 -1000.0 0.0 0.9216685742574259 0.006908456965953142 0.7137425742574255 0.03297838880276997 7.436821881188119 0.24564688693895098 7.9819406930693075 0.009953244682899855 0.5129876732673266 0.003714399302764106 
4 0 3 125 10 11.157216 1.0 1.0 0.075 96.08999412698904 -999.9993394980185 0.0006602838140411967 -0.0016728175258208758 -1000.0 0.0 0.9195749801980196 0.005520640090560955 0.7144950495049505 0.032352374164911914 7.384049405940594 0.29596259871019287 7.982812673267325 0.009656007711929938 0.5129231881188119 0.003213212453533383 
4 0 3 125 10 11.157216 1.0 1.0 0.075 48.04599205197883 -999.9986803035301 0.0006594126914691388 -0.0013369174842028388 -1000.0 0.0 0.9337156732673266 0.004820658157499197 0.715809900990099 0.031200131711293756 7.155144455445544 0.17290434329320348 7.983940594059405 0.00936025956119992 0.5144832178217822 0.0034905919285931433 
