P2 Q6 xi delF
3.130000000000000000e+02 1.000000000000000000e+00 0.000000000000000000e+00 5.884411482305429431e-01
3.140000000000000000e+02 1.000000000000000000e+00 4.980079681274900312e-04 5.890186247305431166e-01
3.150000000000000000e+02 1.000000000000000000e+00 9.960159362549800624e-04 5.887839317305436637e-01
3.160000000000000000e+02 1.000000000000000000e+00 1.494023904382470094e-03 5.892498467305435916e-01
3.170000000000000000e+02 1.000000000000000000e+00 1.992031872509960125e-03 5.896163932305431565e-01
3.180000000000000000e+02 1.000000000000000000e+00 2.490039840637450156e-03 5.896586237305436740e-01
3.190000000000000000e+02 1.000000000000000000e+00 2.988047808764940187e-03 5.900830202305433758e-01
3.200000000000000000e+02 1.000000000000000000e+00 3.486055776892430218e-03 5.903172682305433128e-01
3.210000000000000000e+02 1.000000000000000000e+00 3.984063745019920250e-03 5.907066432305430048e-01
3.220000000000000000e+02 1.000000000000000000e+00 4.482071713147409847e-03 5.911677522305427424e-01
3.230000000000000000e+02 1.000000000000000000e+00 4.980079681274900312e-03 5.915081772305432750e-01
3.240000000000000000e+02 1.000000000000000000e+00 5.478087649402390777e-03 5.916791017305431666e-01
3.250000000000000000e+02 1.000000000000000000e+00 5.976095617529880374e-03 5.920139642305435324e-01
3.260000000000000000e+02 1.000000000000000000e+00 6.474103585657369972e-03 5.922198212305431753e-01
3.270000000000000000e+02 1.000000000000000000e+00 6.972111553784860437e-03 5.926776372305431195e-01
3.280000000000000000e+02 1.000000000000000000e+00 7.470119521912350902e-03 5.928065537305431398e-01
3.290000000000000000e+02 1.000000000000000000e+00 7.968127490039840499e-03 5.937201387305433009e-01
3.300000000000000000e+02 1.000000000000000000e+00 8.466135458167330097e-03 5.942119082305432620e-01
3.310000000000000000e+02 1.000000000000000000e+00 8.964143426294819694e-03 5.947417697305432682e-01
3.320000000000000000e+02 1.000000000000000000e+00 9.462151394422311027e-03 5.955677342305429889e-01
3.330000000000000000e+02 1.000000000000000000e+00 9.960159362549800624e-03 5.965351642305436464e-01
3.340000000000000000e+02 1.000000000000000000e+00 1.045816733067729022e-02 6.013993702305429068e-01
3.350000000000000000e+02 1.000000000000000000e+00 1.095617529880478155e-02 6.014359683970789128e-01
3.360000000000000000e+02 1.000000000000000000e+00 1.145418326693227115e-02 6.019616023970786323e-01
3.370000000000000000e+02 1.000000000000000000e+00 1.195219123505976075e-02 6.027552153970785476e-01
3.380000000000000000e+02 1.000000000000000000e+00 1.245019920318725035e-02 6.035524773970784018e-01
3.390000000000000000e+02 1.000000000000000000e+00 1.294820717131473994e-02 6.049890263970789661e-01
3.400000000000000000e+02 1.000000000000000000e+00 1.344621513944223128e-02 6.062287073970789031e-01
3.410000000000000000e+02 1.000000000000000000e+00 1.394422310756972087e-02 6.076925793970784362e-01
3.420000000000000000e+02 1.000000000000000000e+00 1.444223107569721047e-02 6.087709033970787331e-01
