peak_T peak_intensity peak_E
0.010456045604560456 0.06910072213236162 9.632777754876907
0.2485838583858386 0.4525332397749935 247.36456188166184
0.05891689168916892 0.6886937903493617 56.96498462338741
0.09460846084608461 1.314005791310251 92.72503079639122
0.1834893489348935 2.0576062597845066 182.0229717249269
0.07754275427542753 2.5109074632071042 75.74815268653361
0.013000300030003001 3.207341059326268 11.91871155499962
0.10310531053105311 3.550794058932752 101.18804189389496
0.2141644164416442 4.224312337561514 213.12727033019647
0.17055205520552055 5.4180091662917675 168.95475182205072
0.017920792079207923 6.867757221414763 16.319808776852803
0.042979297929792985 7.2265199514994265 39.07271398932829
0.1591989198919892 9.29856036810736 157.49582348169594
0.03198619861986199 13.420988404713853 28.84801677284701
0.1353885388538854 14.881462883794711 133.52439942546994
0.14664566456645667 15.721110612468692 144.85882643284617
0.05490849084908491 17.829004028517602 52.735901322522245
0.12278727872787279 21.300183710483566 120.92510331063649
0.0892079207920792 22.704953345155218 87.29327290254868
0.0118001800180018 23.64819139462702 10.835587950488046
0.028097809780978096 23.689500957431846 25.364893969840764
0.037362736273627364 23.994457008914992 33.748698721135725
0.0663096309630963 24.327082636397563 64.39153458939633
0.020561056105610563 25.129980905884054 18.653260549448643
0.1111941194119412 30.09767909830748 109.30131523256226
0.19445844584458447 31.71011634012632 193.15946248820262
0.024641464146414643 32.83709540832922 22.280578150379327
0.07343834383438344 44.67148533877116 71.54445058469098
0.016048604860486048 46.858897766658174 14.655135762646232
0.049003900390039004 410.00948666623754 45.779574992120615
