mode Nc rep time_per_step tot_time numb_try numb_succ auto_time_sec Emean Ese count conv_crit
ser 1100 5 5.6054810749551894e-05 98073.496882481006 1749599992 598899996 4903.674844370806 -95972.54028040176 124.84693033000335 19 0.22830826733656742
ser 200 1 6.805687268577667e-05 20417.061793500001 299999998 103779009 122.50237083439788 -17457.93594226271 17.92558149044189 125 0.013036849746802331
ser 200 2 6.6643579066153337e-05 19993.073714609 300000000 103674200 79.97229487938421 -17518.47965710983 15.9139362193764 166 0.06955919767335579
ser 200 3 6.6322341429816663e-05 19896.702422355 300000001 103946109 517.3142631525716 -17283.736098708545 43.51285759738723 35 0.10410465433510904
ser 200 4 6.7254479133573329e-05 20176.34373461 300000000 103662842 100.88171870036058 -17394.12689578503 16.698389265250224 166 -0.01936178412383866
ser 200 5 6.7567421922863332e-05 20270.226567826001 299999999 103956006 405.40453153718045 -17430.823658775804 28.113631619376026 45 0.13293399795844454
ser 2000 1 5.9384613496398695e-05 94849.104665880994 1597200013 544531500 6449.7391179984625 -176571.1803816645 311.33687122572996 13 0.32732485646501364
ser 2000 2 6.3551021123225024e-05 101503.690931281 1597200002 545753743 5684.206692528838 -175407.72285148874 144.0935414897123 16 0.299872359176899
ser 2000 3 6.4153363153207491e-05 102465.751623395 1597200003 544240894 5738.082091184966 -177319.08424420195 145.66476907542076 16 0.22742138210607812
ser 2000 4 6.3910929943094782e-05 102078.537298161 1597199998 544589089 4287.2985668146575 -176492.50105015855 159.18819283913632 22 0.10133033420096263
ser 2000 5 6.406957011189957e-05 102331.917376962 1597200002 544531799 6753.906547259918 -176748.2301527045 330.56246277715064 14 0.3799956503475458
ser 5100 1 6.4957677219333327e-05 105231.43709070901 1620000005 550819356 6840.043411195802 -457600.45535318914 550.4086793892698 14 -0.030283117528317048
ser 5100 2 6.5240944764653085e-05 105690.33050855499 1619999994 550837692 6869.871483717972 -458050.12405841687 541.3682441019535 14 0.019917792865044835
ser 5100 3 6.5044765133753091e-05 105372.51950733201 1620000003 551129153 7376.076366167603 -457506.3762076942 598.2812251766117 12 -0.019161273884908896
ser 5100 4 6.5078857466133324e-05 105427.749088196 1620000011 550630428 6852.803691183843 -458284.88516535796 463.9796398584828 14 0.034528061186799526
ser 5100 5 6.5161509987113583e-05 105561.64617303701 1619999999 551059992 7389.315232538684 -458033.63238693535 578.6432071142787 12 0.005307836314300603
ser 550 1 5.1811278332085152e-05 85302.088641452006 1646400010 570144893 1151.5781967202638 -47811.94674180221 40.924736948643876 71 0.10282058799569119
ser 550 2 4.6933711804902211e-05 77271.663110252994 1646399993 570985757 2124.970735678755 -47728.6713360216 62.29207096535623 35 0.15272853331348
ser 550 3 4.7009236048814985e-05 77396.006226293001 1646400001 570759181 2321.880186923074 -47546.78319852015 56.93819656793152 32 0.1459129425621723
ser 550 4 4.7230570237758143e-05 77760.410834544004 1646400008 570188145 1632.9686276283392 -47717.20770624 61.48504827745249 45 0.10374184951899154
ser 550 5 4.6988675549365889e-05 77362.155419820003 1646399984 570649948 2552.951129007706 -47491.967781311265 63.38211613968723 29 0.1912810060985191
ser 9000 1 6.9167292477842086e-05 96812.075928656006 1399680009 476394193 6776.845315477018 -819247.4987963986 1164.227032219661 12 -0.3423320254044983
ser 9000 2 6.7317590732339543e-05 94223.085383611993 1399679994 476707567 6595.615977736867 -817339.9775979015 1010.5092906304048 12 -0.34270061214287934
ser 9000 3 6.7228867035932499e-05 94098.900599781002 1399680000 476491847 6586.923042899776 -818886.7912698357 939.6347878001537 12 -0.30301866902955765
ser 9000 4 6.8439170296151258e-05 95792.937868056004 1399680005 476637291 6705.5056516081895 -818157.5572570396 819.1972012965707 12 -0.37277313150896496
ser 9000 5 6.8540612427080475e-05 95934.924391740002 1399680008 476539803 6715.444708135517 -818925.3820000212 1095.4820361718703 12 -0.34014116714558446
