MCSweeps totalmoves Epair avg_Epair Ebond avg_Ebond Eangle avg_Eangle Etot avg_Etot time
300 21070000 0 0 0 0 -682 -673.79999999999995 -676 -673.79999999999995 1575.866909177 
310 21770000 0 0 0 0 -676 -674.16666666666663 -681 -674.16666666666663 1627.680082571 
320 22470000 0 0 0 0 -676 -674.16666666666663 -688 -674.16666666666663 1679.595410033 
330 23170000 0 0 0 0 -676 -674.16666666666663 -684 -674.16666666666663 1731.6041918369999 
340 23870000 0 0 0 0 -676 -674.16666666666663 -682 -674.16666666666663 1783.8212519690001 
350 24570000 0 0 0 0 -676 -674.16666666666663 -688 -674.16666666666663 1835.951417279 
360 25270000 0 0 0 0 -688 -676.14285714285711 -674 -676.14285714285711 1888.019607897 
370 25970000 0 0 0 0 -688 -676.14285714285711 -684 -676.14285714285711 1939.3682400600001 
380 26670000 0 0 0 0 -688 -676.14285714285711 -674 -676.14285714285711 1985.2567980389999 
390 27370000 0 0 0 0 -688 -676.14285714285711 -675 -676.14285714285711 2026.523767895 
400 28070000 0 0 0 0 -688 -676.14285714285711 -679 -676.14285714285711 2068.1299206909998 
410 28770000 0 0 0 0 -679 -676.5 -684 -676.5 2109.7506979760001 
420 29470000 0 0 0 0 -679 -676.5 -693 -676.5 2152.4658377370001 
430 30170000 0 0 0 0 -679 -676.5 -685 -676.5 2193.9594629329999 
440 30870000 0 0 0 0 -679 -676.5 -681 -676.5 2235.4147459330002 
450 31570000 0 0 0 0 -679 -676.5 -683 -676.5 2277.0939917740002 
460 32270000 0 0 0 0 -683 -677.22222222222217 -692 -677.22222222222217 2318.7948946739998 
470 32970000 0 0 0 0 -683 -677.22222222222217 -697 -677.22222222222217 2360.2823973549998 
480 33670000 0 0 0 0 -683 -677.22222222222217 -686 -677.22222222222217 2402.0223995920001 
490 34370000 0 0 0 0 -683 -677.22222222222217 -694 -677.22222222222217 2443.8337367190002 
500 35070000 0 0 0 0 -683 -677.22222222222217 -681 -677.22222222222217 2485.155645326 
510 35770000 0 0 0 0 -681 -677.60000000000002 -685 -677.60000000000002 2526.8631543769998 
520 36470000 0 0 0 0 -681 -677.60000000000002 -680 -677.60000000000002 2565.872492686 
530 37170000 0 0 0 0 -681 -677.60000000000002 -677 -677.60000000000002 2606.837756764 
540 37870000 0 0 0 0 -681 -677.60000000000002 -687 -677.60000000000002 2648.4923071359999 
550 38570000 0 0 0 0 -681 -677.60000000000002 -669 -677.60000000000002 2689.7816914179998 
560 39270000 0 0 0 0 -669 -676.81818181818187 -675 -676.81818181818187 2731.351301571 
570 39970000 0 0 0 0 -669 -676.81818181818187 -692 -676.81818181818187 2772.638226823 
580 40670000 0 0 0 0 -669 -676.81818181818187 -681 -676.81818181818187 2813.9430892690002 
590 41370000 0 0 0 0 -669 -676.81818181818187 -679 -676.81818181818187 2855.2545450379998 
600 42070000 0 0 0 0 -669 -676.81818181818187 -677 -676.81818181818187 2896.5660283279999 
610 42770000 0 0 0 0 -677 -676.83333333333337 -680 -676.83333333333337 2938.256088867 
620 43470000 0 0 0 0 -677 -676.83333333333337 -691 -676.83333333333337 2979.5915470959999 
630 44170000 0 0 0 0 -677 -676.83333333333337 -691 -676.83333333333337 3021.2801129170002 
640 44870000 0 0 0 0 -677 -676.83333333333337 -689 -676.83333333333337 3062.8250577019999 
650 45570000 0 0 0 0 -677 -676.83333333333337 -684 -676.83333333333337 3104.319390695 
660 46270000 0 0 0 0 -684 -677.38461538461536 -683 -677.38461538461536 3146.0158106700001 
670 46970000 0 0 0 0 -684 -677.38461538461536 -692 -677.38461538461536 3187.3775143480002 
680 47670000 0 0 0 0 -684 -677.38461538461536 -688 -677.38461538461536 3228.8103335709998 
690 48370000 0 0 0 0 -684 -677.38461538461536 -679 -677.38461538461536 3270.6338268899999 
700 49070000 0 0 0 0 -684 -677.38461538461536 -678 -677.38461538461536 3312.120609351 
710 49770000 0 0 0 0 -678 -677.42857142857144 -688 -677.42857142857144 3353.8939702409998 
720 50470000 0 0 0 0 -678 -677.42857142857144 -695 -677.42857142857144 3395.4747977100001 
730 51170000 0 0 0 0 -678 -677.42857142857144 -687 -677.42857142857144 3436.7644108760001 
740 51870000 0 0 0 0 -678 -677.42857142857144 -684 -677.42857142857144 3478.0220762489998 
750 52570000 0 0 0 0 -678 -677.42857142857144 -685 -677.42857142857144 3519.3830417150002 
760 53270000 0 0 0 0 -685 -677.93333333333328 -673 -677.93333333333328 3560.894833885 
770 53970000 0 0 0 0 -685 -677.93333333333328 -674 -677.93333333333328 3607.3065552829999 
780 54670000 0 0 0 0 -685 -677.93333333333328 -681 -677.93333333333328 3658.9302522339999 
790 55370000 0 0 0 0 -685 -677.93333333333328 -679 -677.93333333333328 3710.9369605010002 
800 56070000 0 0 0 0 -685 -677.93333333333328 -678 -677.93333333333328 3762.7938642449999 
810 56770000 0 0 0 0 -678 -677.9375 -690 -677.9375 3815.097201432 
820 57470000 0 0 0 0 -678 -677.9375 -682 -677.9375 3867.2687034189998 
830 58170000 0 0 0 0 -678 -677.9375 -685 -677.9375 3919.7620218410002 
840 58870000 0 0 0 0 -678 -677.9375 -692 -677.9375 3972.3856729250001 
850 59570000 0 0 0 0 -678 -677.9375 -694 -677.9375 4024.505854689 
860 60270000 0 0 0 0 -694 -678.88235294117646 -692 -678.88235294117646 4076.8435314990002 
870 60970000 0 0 0 0 -694 -678.88235294117646 -684 -678.88235294117646 4128.9079141559996 
880 61670000 0 0 0 0 -694 -678.88235294117646 -686 -678.88235294117646 4180.9234273760003 
890 62370000 0 0 0 0 -694 -678.88235294117646 -686 -678.88235294117646 4232.7583920119996 
900 63070000 0 0 0 0 -694 -678.88235294117646 -682 -678.88235294117646 4284.8538599780004 
910 63770000 0 0 0 0 -682 -679.05555555555554 -675 -679.05555555555554 4336.9324937560004 
920 64470000 0 0 0 0 -682 -679.05555555555554 -681 -679.05555555555554 4388.9740065710002 
930 65170000 0 0 0 0 -682 -679.05555555555554 -685 -679.05555555555554 4441.2049634779996 
940 65870000 0 0 0 0 -682 -679.05555555555554 -681 -679.05555555555554 4493.4236883140002 
950 66570000 0 0 0 0 -682 -679.05555555555554 -695 -679.05555555555554 4546.0659269850003 
960 67270000 0 0 0 0 -695 -679.89473684210532 -695 -679.89473684210532 4598.8425028109996 
970 67970000 0 0 0 0 -695 -679.89473684210532 -698 -679.89473684210532 4651.4139008169996 
980 68670000 0 0 0 0 -695 -679.89473684210532 -693 -679.89473684210532 4704.3533128569998 
990 69370000 0 0 0 0 -695 -679.89473684210532 -695 -679.89473684210532 4757.1214609239996 
1000 70070000 0 0 0 0 -695 -679.89473684210532 -689 -679.89473684210532 4809.5286281750004 
1010 70770000 0 0 0 0 -689 -680.35000000000014 -697 -680.35000000000014 4862.5923496670002 
1020 71470000 0 0 0 0 -689 -680.35000000000014 -688 -680.35000000000014 4915.6244385959999 
1030 72170000 0 0 0 0 -689 -680.35000000000014 -702 -680.35000000000014 4968.5463890589999 
1040 72870000 0 0 0 0 -689 -680.35000000000014 -700 -680.35000000000014 5021.2099200709999 
1050 73570000 0 0 0 0 -689 -680.35000000000014 -700 -680.35000000000014 5074.2333989150002 
1060 74270000 0 0 0 0 -700 -681.28571428571445 -706 -681.28571428571445 5127.1974612510003 
1070 74970000 0 0 0 0 -700 -681.28571428571445 -694 -681.28571428571445 5180.1489332889996 
1080 75670000 0 0 0 0 -700 -681.28571428571445 -696 -681.28571428571445 5233.1163024469997 
1090 76370000 0 0 0 0 -700 -681.28571428571445 -698 -681.28571428571445 5286.1772916379996 
1100 77070000 0 0 0 0 -700 -681.28571428571445 -693 -681.28571428571445 5339.0141009159997 
1110 77770000 0 0 0 0 -693 -681.81818181818198 -702 -681.81818181818198 5392.0829099160001 
1120 78470000 0 0 0 0 -693 -681.81818181818198 -689 -681.81818181818198 5444.745478801 
1130 79170000 0 0 0 0 -693 -681.81818181818198 -693 -681.81818181818198 5497.3474132290003 
1140 79870000 0 0 0 0 -693 -681.81818181818198 -699 -681.81818181818198 5550.0790602249999 
1150 80570000 0 0 0 0 -693 -681.81818181818198 -692 -681.81818181818198 5603.09494318 
1160 81270000 0 0 0 0 -692 -682.2608695652176 -685 -682.2608695652176 5655.7999693920001 
1170 81970000 0 0 0 0 -692 -682.2608695652176 -695 -682.2608695652176 5708.5741305969996 
1180 82670000 0 0 0 0 -692 -682.2608695652176 -699 -682.2608695652176 5761.4523372419999 
1190 83370000 0 0 0 0 -692 -682.2608695652176 -698 -682.2608695652176 5814.2341428979998 
1200 84070000 0 0 0 0 -692 -682.2608695652176 -689 -682.2608695652176 5867.1100932119998 
1210 84770000 0 0 0 0 -689 -682.54166666666686 -698 -682.54166666666686 5919.9794117749998 
1220 85470000 0 0 0 0 -689 -682.54166666666686 -704 -682.54166666666686 5972.6392404990002 
1230 86170000 0 0 0 0 -689 -682.54166666666686 -701 -682.54166666666686 6025.2070517519996 
1240 86870000 0 0 0 0 -689 -682.54166666666686 -697 -682.54166666666686 6077.8057802969997 
1250 87570000 0 0 0 0 -689 -682.54166666666686 -696 -682.54166666666686 6130.4204790379999 
1260 88270000 0 0 0 0 -696 -683.08000000000015 -692 -683.08000000000015 6183.2395589469998 
1270 88970000 0 0 0 0 -696 -683.08000000000015 -691 -683.08000000000015 6235.8156400070002 
1280 89670000 0 0 0 0 -696 -683.08000000000015 -691 -683.08000000000015 6288.6075076360003 
1290 90370000 0 0 0 0 -696 -683.08000000000015 -683 -683.08000000000015 6341.3848390860003 
1300 91070000 0 0 0 0 -696 -683.08000000000015 -683 -683.08000000000015 6394.0783414529997 
1310 91770000 0 0 0 0 -683 -683.07692307692321 -685 -683.07692307692321 6446.6223067569999 
1320 92470000 0 0 0 0 -683 -683.07692307692321 -691 -683.07692307692321 6499.2129270449996 
1330 93170000 0 0 0 0 -683 -683.07692307692321 -677 -683.07692307692321 6551.8384245079997 
1340 93870000 0 0 0 0 -683 -683.07692307692321 -675 -683.07692307692321 6604.4987052790002 
1350 94570000 0 0 0 0 -683 -683.07692307692321 -676 -683.07692307692321 6656.4772056780002 
1360 95270000 0 0 0 0 -676 -682.81481481481489 -688 -682.81481481481489 6708.7025663080003 
1370 95970000 0 0 0 0 -676 -682.81481481481489 -676 -682.81481481481489 6760.8408485700002 
1380 96670000 0 0 0 0 -676 -682.81481481481489 -678 -682.81481481481489 6813.1607414279997 
1390 97370000 0 0 0 0 -676 -682.81481481481489 -682 -682.81481481481489 6865.5315913699997 
1400 98070000 0 0 0 0 -676 -682.81481481481489 -683 -682.81481481481489 6917.7155545579999 
1410 98770000 0 0 0 0 -683 -682.82142857142867 -685 -682.82142857142867 6970.2772385770004 
1420 99470000 0 0 0 0 -683 -682.82142857142867 -685 -682.82142857142867 7022.7099163180001 
1430 100170000 0 0 0 0 -683 -682.82142857142867 -683 -682.82142857142867 7075.216548247 
1440 100870000 0 0 0 0 -683 -682.82142857142867 -673 -682.82142857142867 7127.4856939069996 
1450 101570000 0 0 0 0 -683 -682.82142857142867 -680 -682.82142857142867 7180.231034036 
1460 102270000 0 0 0 0 -680 -682.72413793103465 -685 -682.72413793103465 7232.9664444399996 
1470 102970000 0 0 0 0 -680 -682.72413793103465 -695 -682.72413793103465 7285.5893965770001 
1480 103670000 0 0 0 0 -680 -682.72413793103465 -683 -682.72413793103465 7337.7748708259996 
1490 104370000 0 0 0 0 -680 -682.72413793103465 -670 -682.72413793103465 7390.1040098180001 
1500 105070000 0 0 0 0 -680 -682.72413793103465 -694 -682.72413793103465 7442.437383722 
1510 105770000 0 0 0 0 -694 -683.10000000000014 -693 -683.10000000000014 7495.24563399 
1520 106470000 0 0 0 0 -694 -683.10000000000014 -695 -683.10000000000014 7547.8897767079998 
