P2 Q6 xi delF
1.470000000000000000e+02 2.000000000000000000e+00 0.000000000000000000e+00 6.090194468749032808e-03
1.480000000000000000e+02 2.000000000000000000e+00 1.400560224089635866e-03 7.056986999998571264e-03
1.490000000000000000e+02 2.000000000000000000e+00 2.801120448179271732e-03 7.541406162497210630e-03
1.500000000000000000e+02 2.000000000000000000e+00 4.201680672268907381e-03 8.350362606249106534e-03
1.510000000000000000e+02 2.000000000000000000e+00 5.602240896358543464e-03 8.750780237496869063e-03
1.520000000000000000e+02 2.000000000000000000e+00 7.002801120448179546e-03 8.887910412498811752e-03
1.530000000000000000e+02 2.000000000000000000e+00 8.403361344537814762e-03 9.175933374997669034e-03
1.540000000000000000e+02 2.000000000000000000e+00 9.803921568627450844e-03 8.963728768748069342e-03
1.550000000000000000e+02 2.000000000000000000e+00 1.120448179271708693e-02 8.486438887496561279e-03
1.560000000000000000e+02 2.000000000000000000e+00 1.260504201680672301e-02 9.857492662497691072e-03
1.570000000000000000e+02 2.000000000000000000e+00 1.400560224089635909e-02 9.619932612496384650e-03
1.580000000000000000e+02 2.000000000000000000e+00 1.540616246498599518e-02 1.066607714374789850e-02
1.590000000000000000e+02 2.000000000000000000e+00 1.680672268907562952e-02 1.081269236249937649e-02
1.600000000000000000e+02 2.000000000000000000e+00 1.820728291316526734e-02 1.120684862499743417e-02
1.610000000000000000e+02 2.000000000000000000e+00 1.960784313725490169e-02 1.082943067499897438e-02
1.620000000000000000e+02 2.000000000000000000e+00 2.100840336134453951e-02 1.198375429999920527e-02
1.630000000000000000e+02 2.000000000000000000e+00 2.240896358543417385e-02 1.334482708124795636e-02
1.640000000000000000e+02 2.000000000000000000e+00 2.380952380952380820e-02 1.527667631874685128e-02
1.650000000000000000e+02 2.000000000000000000e+00 2.521008403361344602e-02 1.969993038124862039e-02
1.660000000000000000e+02 2.000000000000000000e+00 2.661064425770308037e-02 2.503396276062375136e-02
1.670000000000000000e+02 2.000000000000000000e+00 2.801120448179271819e-02 2.698193037312357490e-02
1.680000000000000000e+02 2.000000000000000000e+00 2.941176470588235253e-02 2.798064968562385957e-02
1.690000000000000000e+02 2.000000000000000000e+00 3.081232492997199035e-02 2.893485748562341087e-02
1.700000000000000000e+02 2.000000000000000000e+00 3.221288515406162817e-02 3.226615363562324035e-02
1.710000000000000000e+02 2.000000000000000000e+00 3.361344537815125905e-02 3.202462598562227925e-02
1.720000000000000000e+02 2.000000000000000000e+00 3.501400560224089686e-02 3.366783232312187124e-02
1.730000000000000000e+02 2.000000000000000000e+00 3.641456582633053468e-02 3.429694489812185054e-02
1.740000000000000000e+02 2.000000000000000000e+00 3.781512605042016556e-02 3.752520743562293148e-02
1.750000000000000000e+02 2.000000000000000000e+00 3.921568627450980338e-02 3.788985467312500077e-02
1.760000000000000000e+02 2.000000000000000000e+00 4.061624649859944119e-02 3.949797254812459357e-02
1.770000000000000000e+02 2.000000000000000000e+00 4.201680672268907901e-02 4.061770366062411597e-02
1.780000000000000000e+02 2.000000000000000000e+00 4.341736694677870989e-02 4.236605139812255061e-02
1.790000000000000000e+02 2.000000000000000000e+00 4.481792717086834771e-02 4.192998736062314435e-02
1.800000000000000000e+02 2.000000000000000000e+00 4.621848739495798553e-02 4.532947663562403307e-02
1.810000000000000000e+02 2.000000000000000000e+00 4.761904761904761640e-02 4.563361797312381896e-02
1.820000000000000000e+02 2.000000000000000000e+00 4.901960784313725422e-02 4.804877048562339326e-02
1.830000000000000000e+02 2.000000000000000000e+00 5.042016806722689204e-02 4.738717318562279956e-02
1.840000000000000000e+02 2.000000000000000000e+00 5.182072829131652986e-02 5.055864944812249462e-02
1.850000000000000000e+02 2.000000000000000000e+00 5.322128851540616074e-02 5.226310561062241788e-02
1.860000000000000000e+02 2.000000000000000000e+00 5.462184873949579855e-02 5.233105076062294359e-02
1.870000000000000000e+02 2.000000000000000000e+00 5.602240896358543637e-02 5.303604368562275795e-02
1.880000000000000000e+02 2.000000000000000000e+00 5.742296918767506725e-02 5.405509694812238308e-02
1.890000000000000000e+02 2.000000000000000000e+00 5.882352941176470507e-02 5.677451478562467457e-02
1.900000000000000000e+02 2.000000000000000000e+00 6.022408963585434288e-02 5.710196577312309785e-02
1.910000000000000000e+02 2.000000000000000000e+00 6.162464985994398070e-02 5.873252538562390157e-02
1.920000000000000000e+02 2.000000000000000000e+00 6.302521008403361158e-02 6.096814399812267027e-02
1.930000000000000000e+02 2.000000000000000000e+00 6.442577030812325634e-02 6.075662132312231734e-02
1.940000000000000000e+02 2.000000000000000000e+00 6.582633053221288721e-02 6.179687644812403846e-02
1.950000000000000000e+02 2.000000000000000000e+00 6.722689075630251809e-02 6.190164588562296899e-02
1.960000000000000000e+02 2.000000000000000000e+00 6.862745098039216285e-02 6.382754372312327007e-02
1.970000000000000000e+02 2.000000000000000000e+00 7.002801120448179373e-02 6.472025372312373293e-02
1.980000000000000000e+02 2.000000000000000000e+00 7.142857142857142461e-02 6.639383699812384521e-02
1.990000000000000000e+02 2.000000000000000000e+00 7.282913165266106936e-02 6.882758763562257798e-02
2.000000000000000000e+02 2.000000000000000000e+00 7.422969187675070024e-02 6.913408473562476786e-02
2.010000000000000000e+02 2.000000000000000000e+00 7.563025210084033112e-02 7.039801331062456313e-02
2.020000000000000000e+02 2.000000000000000000e+00 7.703081232492997588e-02 7.166913316062384354e-02
2.030000000000000000e+02 2.000000000000000000e+00 7.843137254901960675e-02 7.232837469812380959e-02
2.040000000000000000e+02 2.000000000000000000e+00 7.983193277310923763e-02 7.243041641062397673e-02
2.050000000000000000e+02 2.000000000000000000e+00 8.123249299719888239e-02 7.350427214812427223e-02
2.060000000000000000e+02 2.000000000000000000e+00 8.263305322128851327e-02 7.532812827312262982e-02
2.070000000000000000e+02 2.000000000000000000e+00 8.403361344537815802e-02 7.588508012312544793e-02
2.080000000000000000e+02 2.000000000000000000e+00 8.543417366946778890e-02 7.713908969812344196e-02
2.090000000000000000e+02 2.000000000000000000e+00 8.683473389355741978e-02 7.886499569812421839e-02
2.100000000000000000e+02 2.000000000000000000e+00 8.823529411764706454e-02 7.881279696062293283e-02
2.110000000000000000e+02 2.000000000000000000e+00 8.963585434173669542e-02 8.070720197312297728e-02
2.120000000000000000e+02 2.000000000000000000e+00 9.103641456582632630e-02 8.102733769812431319e-02
2.130000000000000000e+02 2.000000000000000000e+00 9.243697478991597105e-02 8.193145454812444939e-02
2.140000000000000000e+02 2.000000000000000000e+00 9.383753501400560193e-02 8.337665284812345590e-02
2.150000000000000000e+02 2.000000000000000000e+00 9.523809523809523281e-02 8.404060591062290086e-02
2.160000000000000000e+02 2.000000000000000000e+00 9.663865546218487756e-02 8.546881792312355230e-02
2.170000000000000000e+02 2.000000000000000000e+00 9.803921568627450844e-02 8.559069763562376920e-02
2.180000000000000000e+02 2.000000000000000000e+00 9.943977591036415320e-02 8.533515939812197360e-02
2.190000000000000000e+02 2.000000000000000000e+00 1.008403361344537841e-01 8.573353123562199585e-02
2.200000000000000000e+02 2.000000000000000000e+00 1.022408963585434150e-01 8.640591544812359359e-02
2.210000000000000000e+02 2.000000000000000000e+00 1.036414565826330597e-01 8.721902547312332388e-02
2.220000000000000000e+02 2.000000000000000000e+00 1.050420168067226906e-01 8.837322511062417618e-02
2.230000000000000000e+02 2.000000000000000000e+00 1.064425770308123215e-01 8.785594926062323395e-02
2.240000000000000000e+02 2.000000000000000000e+00 1.078431372549019662e-01 8.972258107312214293e-02
2.250000000000000000e+02 2.000000000000000000e+00 1.092436974789915971e-01 9.060785182312436348e-02
2.260000000000000000e+02 2.000000000000000000e+00 1.106442577030812280e-01 9.172014368562386721e-02
2.270000000000000000e+02 2.000000000000000000e+00 1.120448179271708727e-01 9.274985987312334146e-02
2.280000000000000000e+02 2.000000000000000000e+00 1.134453781512605036e-01 9.196762273562342216e-02
