Temp time Emean Ese conv energy energy_s r2g r2g_s
0.35 1732.0177942369992 -538.3684210526316 0.8092626044544272 0.30119157573304284 -537.1584158415842 3.633541962522576 5.990509900990097 0.029658529452707638
0.35 497.23913360099687 -537.2608695652174 0.5656453875329678 0.28852037656500923 -537.3267326732673 4.081129990314368 6.053583564356438 0.03488071865415077
0.35 331.49793173400394 -543.0970873786408 0.38895936656795616 0.18324992800687961 -541.8514851485148 3.792609119451641 5.900118910891088 0.022512815311934817
0.35 795.7191019110032 -540.6046511627907 0.6011882365031869 0.3001980607700574 -538.6633663366337 3.300996632350231 5.927565445544555 0.03944376431849999
0.35 641.9695095150018 -528.9622641509434 0.49198797126232285 0.2807590627620995 -529.2376237623762 4.259290404461096 6.270657227722772 0.04453200377965616
0.35 1296.710932131995 -539.4230769230769 0.757942319008521 0.35329735096122883 -540.5940594059406 3.3066935351019136 6.090196336633662 0.02635823243832589
0.35 864.7059979499973 -540.2307692307693 0.5963526423012387 0.3229665009636655 -541.8316831683169 4.279977114148799 5.896788712871288 0.027160014496539046
0.35 242.73000283500005 -541.2112676056338 0.3114286413332584 0.20537166998504536 -542.1287128712871 3.1392228537454763 5.971909504950494 0.023461756510687923
0.5 275.01971555600176 -499.928 1.2148508254102641 0.17336764276893632 -499.56435643564356 11.470509619125849 6.198006930693071 0.11081494393578081
0.5 503.32287834199815 -498.97058823529414 1.3543743349613933 0.19771042965161673 -503.7227722772277 11.354868813853619 6.159747029702969 0.09469552155756113
0.5 617.3520499079968 -501.8363636363636 1.579363536702955 0.21548476397962202 -505.05940594059405 11.988296092917036 6.117980000000001 0.11417464959394874
0.5 229.71603789599612 -499.5625 1.0088209885029829 0.2006125096038902 -502.3267326732673 11.310302769179817 6.13332712871287 0.10185932230905852
0.5 439.63261104199773 -498.85897435897436 1.3658178389362887 0.2711524005875706 -493.3960396039604 14.366544750831338 6.255385643564355 0.17310886493087269
0.5 184.58654989599745 -499.7567567567568 0.8111720646404212 0.13757406826561175 -498.9504950495049 10.15267241570753 6.163320792079209 0.0910762145719658
0.5 1099.6421565730052 -504.64516129032256 2.2089348350053832 0.20636453241657843 -499.05940594059405 11.715963369134244 6.23165 0.13549876987494672
0.5 191.44259843200416 -500.96610169491527 0.8736771939314523 0.15274783294725602 -503.1782178217822 11.083299397594205 6.13069396039604 0.09558095437774625
0.6 7.250760778995755 -233.025390625 0.29195558529073135 -0.0038674457978447527 -229.6039603960396 19.65448035885582 10.277173861386139 1.6929294253025986
0.6 7.17312170000514 -233.0354806739346 0.2925251734826405 -0.004722437891510095 -232.79207920792078 19.94264887600807 10.067777128712871 1.5989036692469498
0.6 6.8221380449977005 -233.45639707336366 0.28959495653406475 0.0012582824230186166 -234.02970297029702 19.46535660686866 10.0804998019802 1.2149998400162714
0.6 6.831647945997247 -232.93287265547877 0.28847205117830643 -0.00015935084144487458 -233.47524752475246 20.741021705171015 9.956835544554457 1.2195315902626165
0.6 6.837964831000136 -233.71030805687204 0.29290549257860726 -0.008779835256780347 -230.86138613861385 19.29501536357512 10.203462277227723 1.3697761269781894
0.6 6.45825748500647 -233.39928193499622 0.2882018196576109 0.0060642381333844576 -232.25742574257427 20.838204377777622 9.856627821782178 1.4763240603343115
0.6 7.1489046049973695 -233.3821334946562 0.2929147479487725 -0.0026620234506857634 -234.40594059405942 22.71571106229734 10.048953465346534 1.7515841327342534
0.6 6.727459624002222 -232.9316720257235 0.2955708619033232 0.0031799147743936202 -229.78217821782178 21.683869060515583 10.376441980198019 1.7875154219305756
0.9 5.644560991000617 -56.1662817551963 0.12885135488540855 0.00010126740398240836 -55.02970297029703 10.100931675041297 50.899718811881186 13.145057374366562
0.9 2.801044879000983 -55.976151180062715 0.0898080646460283 -0.002452302760666593 -54.59405940594059 8.842044270843708 52.73726138613861 13.585997202536179
0.9 5.645409451004525 -55.898106995884774 0.12545196349947726 -0.0011039027761225915 -55.336633663366335 9.686447844080641 50.07987326732674 14.013101987266168
0.9 2.8084712249983568 -56.05770022224051 0.08985976271805383 0.0046893487632612444 -54.613861386138616 9.432375567802278 49.79591782178217 14.482713159422104
0.9 5.602915319002932 -55.96381959358995 0.12594814743341817 -0.00634101623271483 -55.78217821782178 9.637595485416249 50.40474455445544 13.622826641793962
0.9 2.8744988170001307 -56.03575842465189 0.08982860123970778 0.004243454684705567 -56.742574257425744 10.051996959716472 50.36879504950495 13.555665237434177
0.9 2.852537195001787 -55.89007910349374 0.08912444303111279 -0.0028760994728979088 -55.663366336633665 10.718058442954561 49.63630297029703 13.953628226254484
0.9 2.768563348996395 -55.94099251090445 0.08900419990702517 0.004149209995179114 -55.43564356435643 9.917896456929734 50.027316831683166 12.738182182169963
