l0 kb T costheta_s kappa theta_s lp Tr lp_se
1.0 0.2 0.01 0.9 600.0 0.4510268117962624 19.472536558010372 0.049999999999999996 0.05178204860017938
1.0 0.2 0.02 0.9 600.0 0.4510268117962624 9.453092094734325 0.09999999999999999 0.02537735122858638
1.0 0.2 0.03 0.9 600.0 0.4510268117962624 6.142305419639502 0.15 0.0088748891014607
1.0 0.2 0.04 0.9 600.0 0.4510268117962624 4.50680668673616 0.19999999999999998 0.01522064053240787
1.0 0.2 0.05 0.9 600.0 0.4510268117962624 3.5158331905341678 0.25 0.011404400156700878
1.0 0.2 0.075 0.9 600.0 0.4510268117962624 2.193724553974964 0.37499999999999994 0.009285672098060617
1.0 0.2 0.1 0.9 600.0 0.4510268117962624 1.6243214648028168 0.5 0.02905893586913848
1.0 0.2 0.15 0.9 600.0 0.4510268117962624 1.0836322663299978 0.7499999999999999 0.03194058492608719
1.0 0.2 0.2 0.9 600.0 0.4510268117962624 0.9535442306697869 1.0 0.05641703238602529
1.0 0.2 0.25 0.9 600.0 0.4510268117962624 0.8707682481748689 1.25 0.05023687139830453
1.0 0.2 0.3 0.9 600.0 0.4510268117962624 0.9195823408719616 1.4999999999999998 0.05998472286957354
1.0 0.2 0.4 0.9 600.0 0.4510268117962624 0.800832722170752 2.0 0.06526018447801495
1.0 0.2 0.6 0.9 600.0 0.4510268117962624 0.8117858664648074 2.9999999999999996 0.08078378298478
1.0 0.2 1.0 0.9 600.0 0.4510268117962624 0.8529225027482561 5.0 0.056828172539514575
1.0 0.5 0.005 0.9 600.0 0.4510268117962624 99.60158684004405 0.01 0.13839575617951103
1.0 0.5 0.01 0.9 600.0 0.4510268117962624 49.477189516820594 0.02 0.08156274483260852
1.0 0.5 0.02 0.9 600.0 0.4510268117962624 24.444530086407244 0.04 0.06857906686334259
1.0 0.5 0.03 0.9 600.0 0.4510268117962624 16.205356868796095 0.06 0.04461311428375938
1.0 0.5 0.04 0.9 600.0 0.4510268117962624 11.98084966683113 0.08 0.029622827617806286
1.0 0.5 0.05 0.9 600.0 0.4510268117962624 9.496610262378827 0.09999999999999999 0.019006564178725198
1.0 0.5 0.075 0.9 600.0 0.4510268117962624 6.1482298787495155 0.15 0.01024345688669377
1.0 0.5 0.1 0.9 600.0 0.4510268117962624 4.49848484488526 0.19999999999999998 0.015741556923053467
1.0 0.5 0.15 0.9 600.0 0.4510268117962624 2.8186089563504764 0.3 0.014317407547917264
1.0 0.5 0.2 0.9 600.0 0.4510268117962624 2.0284283004761283 0.39999999999999997 0.01034193744418371
1.0 0.5 0.25 0.9 600.0 0.4510268117962624 1.6176052806215337 0.5 0.03287292201000566
1.0 0.5 0.3 0.9 600.0 0.4510268117962624 1.2914627841077804 0.6 0.05976896205466469
1.0 0.5 0.4 0.9 600.0 0.4510268117962624 1.0851236139435185 0.7999999999999999 0.03680575891647585
1.0 0.5 0.6 0.9 600.0 0.4510268117962624 0.9744778774258339 1.2 0.03580856013233197
1.0 0.5 1.0 0.9 600.0 0.4510268117962624 0.7397901887997473 2.0 0.04301530219419878
1.0 1.0 0.005 0.9 600.0 0.4510268117962624 199.57397585401836 0.005 0.2977528025348763
1.0 1.0 0.01 0.9 600.0 0.4510268117962624 99.58318560068246 0.01 0.19590982694063228
1.0 1.0 0.02 0.9 600.0 0.4510268117962624 49.45827597614288 0.02 0.085787676757656
1.0 1.0 0.03 0.9 600.0 0.4510268117962624 32.815610114614216 0.03 0.07179344123401839
1.0 1.0 0.04 0.9 600.0 0.4510268117962624 24.47743526873797 0.04 0.03546092243517313
1.0 1.0 0.05 0.9 600.0 0.4510268117962624 19.471117733764185 0.049999999999999996 0.04908201716580174
1.0 1.0 0.075 0.9 600.0 0.4510268117962624 12.844444646312882 0.075 0.04266148673470645
1.0 1.0 0.1 0.9 600.0 0.4510268117962624 9.506989826363373 0.09999999999999999 0.01944573094300163
